,formula,k_expt,k-units,k_condition,k_condition_units
357,SrTi0.8Nb0.2O3,3.14,W/m$\cdot$K,1000,K
358,Zr0.98Nb0.02NiSn,6.4517,W/m$\cdot$K,700,K
359,Ca2.85Na0.15AlSb3,0.68,W/m$\cdot$K,1000,K
360,Nd2Cu0.98Ni0.02O4,8.03,W/m$\cdot$K,400,K
361,Ca2.85Na0.15AlSb3,1.59,W/m$\cdot$K,300,K
362,Mg2Si,7.25,W/m$\cdot$K,300,K
363,Tl0.02Pb0.98Te,2.16832,W/m$\cdot$K,300,K
364,Ba0.6Sr0.4PbO3,2.36416,W/m$\cdot$K,400,K
365,Fe0.998Co0.002Si2,5.69,W/m$\cdot$K,300,K
366,Ca0.9Nd0.1MnO3,2.41558,W/m$\cdot$K,700,K
367,SrTi0.8Nb0.2O3,7.96,W/m$\cdot$K,300,K
368,Sr2Ti0.8Nb0.2O4,3.59,W/m$\cdot$K,400,K
369,Ag0.15Sb0.15Te1.15Ge0.85,1.65073,W/m$\cdot$K,700,K
370,Nd2Cu0.98Ni0.02O4,3.9019999999999997,W/m$\cdot$K,1000,K
371,CaMnO3,2.09242,W/m$\cdot$K,1000,K
372,In1.94Ge0.06O3,3.06296,W/m$\cdot$K,1000,K
373,Zn0.95Al0.05O,34.5,W/m$\cdot$K,300,K
374,Zn0.995Al0.005O,44.495,W/m$\cdot$K,300,K
375,Zn0.995Al0.005O,30.21,W/m$\cdot$K,400,K
376,Ca0.9Ho0.1MnO3,2.23936,W/m$\cdot$K,1000,K
377,Ca4.75Na0.25Al2Sb6,0.82,W/m$\cdot$K,700,K
378,Mg2Si0.6Ge0.4Ag0.02,3.48,W/m$\cdot$K,1000,K
379,Sr0.61Ba0.39Nb2O6,1.6669999999999998,W/m$\cdot$K,300,K
380,Ba8Ga16Ge30,1.6,W/m$\cdot$K,1000,K
381,Zr0.4Hf0.4Ti0.2NiSn,3.196,W/m$\cdot$K,700,K
382,Zr0.25Hf0.25Ti0.5NiSn,3.003,W/m$\cdot$K,400,K
383,Si0.79936Ge0.19984B0.0008,4.14497,W/m$\cdot$K,400,K
384,Ni2.0Mo6S8,1.7135,W/m$\cdot$K,300,K
385,CaYb0.1Mn0.9O3,1.72527,W/m$\cdot$K,300,K
386,Ca2.7Bi0.3Co4O9,2.05,W/m$\cdot$K,1000,K
387,Cu4.0Mo6S8,2.0386,W/m$\cdot$K,1000,K
388,Fe0.978Co0.00196Si1.96Y0.12O0.18,2.86,W/m$\cdot$K,300,K
389,Ca2.7Na0.3Co4O9,2.05,W/m$\cdot$K,1000,K
390,Ca3Co4O9,3.15,W/m$\cdot$K,700,K
391,Fe0.978Co0.00196Si1.96Y0.04O0.06,4.21,W/m$\cdot$K,1000,K
392,CeFe3.5Co0.5Sb12,2.4,W/m$\cdot$K,300,K
393,Ca3Co4O9,3.51,W/m$\cdot$K,300,K
394,Sr0.61Ba0.39Nb2O6,2.1717,W/m$\cdot$K,700,K
395,Na0.02Pb0.98Te0.75Se0.25,1.1964299999999999,W/m$\cdot$K,1000,K
396,CeFe4Sb12,1.703,W/m$\cdot$K,700,K
397,CaMnO3,1.6787400000000001,W/m$\cdot$K,1000,K
398,Tl2Cu2SnTe4,0.377,W/m$\cdot$K,300,K
399,Zn4Sb3,0.75,W/m$\cdot$K,700,K
400,In1.985Ge0.015O3,9.41949,W/m$\cdot$K,300,K
401,Ca0.7Tb0.3MnO3,1.465854004,W/m$\cdot$K,400,K
402,CaMn0.98Nb0.02O3,2.5,W/m$\cdot$K,300,K
403,Zr0.5Hf0.5NiSn,3.53,W/m$\cdot$K,400,K
404,SrNb0.15Ti0.85O3,3.0780000000000003,W/m$\cdot$K,1000,K
405,Fe1.96Ti0.04O3,4.7,W/m$\cdot$K,700,K
406,Yb14MnSb11,0.8440000000000001,W/m$\cdot$K,400,K
407,Mg2Si0.995Bi0.005,6.55,W/m$\cdot$K,300,K
408,Si0.8Ge0.2,2.56641,W/m$\cdot$K,700,K
409,La3Te3.35Sb0.65,1.36,W/m$\cdot$K,400,K
410,Zr0.25Hf0.25Ti0.5NiSn,3.2539999999999996,W/m$\cdot$K,700,K
411,Na0.02Pb0.98Te,3.99643,W/m$\cdot$K,300,K
412,CaYb0.05Mn0.95O3,1.60159,W/m$\cdot$K,700,K
413,In1.994Ge0.006O3,3.48967,W/m$\cdot$K,1000,K
414,Sr3Ti1.6Nb0.4O7,4.96,W/m$\cdot$K,300,K
415,Zn0.995Al0.005O,13.525,W/m$\cdot$K,700,K
416,Zn4Sb3,0.76,W/m$\cdot$K,300,K
417,CuRh0.9Mg0.1O2,10.0099,W/m$\cdot$K,700,K
418,Fe1.96Sn0.04O3,6.17,W/m$\cdot$K,400,K
419,Ca3AlSb3,1.45,W/m$\cdot$K,300,K
420,Mo6Te7S,4.60973,W/m$\cdot$K,1000,K
421,Mg1.9Ca0.1Si,4.7,W/m$\cdot$K,400,K
422,Ca2.85Na0.15AlSb3,0.84,W/m$\cdot$K,700,K
423,Ba8Ga16Ge30,1.43,W/m$\cdot$K,1000,K
424,CaYb0.05Mn0.95O3,1.47173,W/m$\cdot$K,400,K
425,Mg2Si0.993Bi0.007,4.4,W/m$\cdot$K,700,K
426,Mo6Te7S,3.97842,W/m$\cdot$K,700,K
427,SrTi0.8Nb0.2O3,10.42,W/m$\cdot$K,300,K
428,CaMnO3,3.4447,W/m$\cdot$K,1000,K
429,CuCr0.98Mg0.02O2,4.833,W/m$\cdot$K,1000,K
430,Cu2Se,0.915,W/m$\cdot$K,700,K
431,Zn0.98Al0.02O,40.29,W/m$\cdot$K,300,K
432,Fe0.978Co0.00196Si1.96Y0.12O0.18,3.22,W/m$\cdot$K,1000,K
433,Li0.0024Ni0.9976O,11.390999999999998,W/m$\cdot$K,700,K
434,Ba0.8Sr0.2PbO3,3.3063599999999997,W/m$\cdot$K,400,K
435,NbCoSn,9.926639999999999,W/m$\cdot$K,1000,K
436,Ti0.95Nb0.05NiSn,5.4917,W/m$\cdot$K,1000,K
437,La3Te3.65Sb0.35,1.98,W/m$\cdot$K,700,K
438,La0.95Sr0.05CoO3,1.8,W/m$\cdot$K,300,K
439,Ca0.98Bi0.02Mn0.98Nb0.02O3,1.7359799999999999,W/m$\cdot$K,1000,K
440,Fe0.978Co0.00196Si1.96Y0.12O0.18,2.96,W/m$\cdot$K,700,K
441,Mg2Si0.999Bi0.001,8.52,W/m$\cdot$K,300,K
442,Na0.02Pb0.98Te0.85Se0.15,1.18929,W/m$\cdot$K,1000,K
443,Cr1.3Mo6S8,2.1055,W/m$\cdot$K,400,K
444,Ca0.9Bi0.1Mn0.9Nb0.1O3,1.6869,W/m$\cdot$K,1000,K
445,Ca0.7Ho0.3MnO3,2.143851851,W/m$\cdot$K,300,K
446,SrNd0.17Ti0.83O3,6.19,W/m$\cdot$K,300,K
447,Mg1.9Ca0.1Si,3.8,W/m$\cdot$K,700,K
448,Ti0.95Nb0.05NiSn,6.9595,W/m$\cdot$K,300,K
449,Zr0.99Nb0.01NiSn,8.2117,W/m$\cdot$K,400,K
450,Ca3Co4O9,1.9,W/m$\cdot$K,400,K
451,CaMnO3,16.23,W/m$\cdot$K,300,K
452,Zr0.5Hf0.5NiSn1.994Sb0.006,2.6455415209999997,W/m$\cdot$K,400,K
453,CaGd0.94Mn0.06O3,2.84951,W/m$\cdot$K,300,K
454,Cu2Se,1.04,W/m$\cdot$K,400,K
455,Mg2Si,3.25,W/m$\cdot$K,700,K
456,Ba0.6Sr0.4PbO3,2.3063599999999997,W/m$\cdot$K,300,K
457,Ti0.99Nb0.01NiSn,6.2917,W/m$\cdot$K,1000,K
458,CaMn0.96Ru0.04O3,2.88165,W/m$\cdot$K,1000,K
459,ZrNiSn0.98Sb0.02,7.95,W/m$\cdot$K,400,K
460,CeFe3CoSb12,1.37,W/m$\cdot$K,300,K
461,Ca2Co2O5,2.6,W/m$\cdot$K,700,K
462,Ba8Ga16Ge30,1.62,W/m$\cdot$K,700,K
463,Zr0.95Nb0.05NiSn,8.2117,W/m$\cdot$K,400,K
464,Mg2Si,3.05,W/m$\cdot$K,700,K
465,CuCr0.97Mg0.03O2,4.7763,W/m$\cdot$K,1000,K
466,CaMnO3,2.16539,W/m$\cdot$K,700,K
467,Fe1.3Mo6S8,1.8524,W/m$\cdot$K,400,K
468,Mg2Si0.6Ge0.4Bi0.02,1.94,W/m$\cdot$K,700,K
469,Sr1.6La0.4Nb2O7,1.8,W/m$\cdot$K,300,K
470,Ba0.3Sr0.6La0.1TiO3,4.07,W/m$\cdot$K,300,K
471,NbCo1.10Sn,5.83,W/m$\cdot$K,400,K
472,Ca2.94Na0.06AlSb3,0.86,W/m$\cdot$K,700,K
473,Si0.7956Ge0.1989P0.0055,3.6656800000000005,W/m$\cdot$K,1000,K
474,Zr0.5Hf0.5NiSn1.998Sb0.002,2.887113404,W/m$\cdot$K,300,K
475,Ca0.9Y0.1MnO3,1.4823922280000001,W/m$\cdot$K,400,K
476,Pb0.98TeNa0.02,1.44,W/m$\cdot$K,700,K
477,WO2.722,7.817,W/m$\cdot$K,400,K
478,TiNiSn,4.5516,W/m$\cdot$K,700,K
479,Ca2.85Na0.15AlSb3,1.24,W/m$\cdot$K,400,K
480,Zn0.99Al0.01O,8.25,W/m$\cdot$K,1000,K
481,Ag0.15Sb0.15Te1.15Ge0.85,1.49875,W/m$\cdot$K,300,K
482,Ba8Ga16Ge30,2.0,W/m$\cdot$K,400,K
483,In0.15Co4Sb12,1.8615400000000002,W/m$\cdot$K,700,K
484,Ca0.7Tb0.3MnO3,1.6808204359999999,W/m$\cdot$K,1000,K
485,NaCo2O4,19.08,W/m$\cdot$K,300,K
486,NbCoSn,7.9584,W/m$\cdot$K,400,K
487,Ba0.8Sr0.2PbO3,2.74566,W/m$\cdot$K,300,K
488,Ba7SrAl16Si30,2.31,W/m$\cdot$K,300,K
489,Sr0.147Ga0.298Ge0.555,1.216,W/m$\cdot$K,300,K
490,Ca4.75Na0.25Al2Sb6,1.45,W/m$\cdot$K,300,K
491,Sr0.61Ba0.39Nb2O6,1.6669999999999998,W/m$\cdot$K,300,K
492,Li0.0024Ni0.9976O,16.1715,W/m$\cdot$K,400,K
493,BaPbO3,3.78035,W/m$\cdot$K,300,K
494,Ca4.75Na0.25Al2Sb6,0.703,W/m$\cdot$K,1000,K
495,Nd2Cu0.98Ni0.02O4,5.25,W/m$\cdot$K,700,K
496,In0.1Co4Sb12,1.74246,W/m$\cdot$K,700,K
497,Mg2Si0.98Bi0.02,3.6,W/m$\cdot$K,700,K
498,Zr0.25Hf0.25Ti0.5NiSn,3.0626,W/m$\cdot$K,300,K
499,In0.15Co4Sb12,1.9946400000000002,W/m$\cdot$K,400,K
500,Fe0.978Co0.00196Si1.96Y0.12O0.18,2.64,W/m$\cdot$K,400,K
501,CuCr0.97Mg0.03O2,7.1396,W/m$\cdot$K,300,K
502,In1.985Ge0.015O3,3.5358099999999997,W/m$\cdot$K,1000,K
503,NaCo2O4,1.834,W/m$\cdot$K,400,K
504,WO2.9,3.1764,W/m$\cdot$K,400,K
505,Ca4.95Na0.05Al2Sb6,1.49,W/m$\cdot$K,300,K
506,Mg2Si0.999Bi0.001,5.7,W/m$\cdot$K,400,K
507,Mg2Si0.6Ge0.4Ag0.02,4.11,W/m$\cdot$K,300,K
508,Ca2.94Na0.06AlSb3,0.698,W/m$\cdot$K,1000,K
509,Zr0.5Hf0.5NiSn1.994Sb0.006,2.766860566,W/m$\cdot$K,300,K
510,Cu1.98Se,1.45,W/m$\cdot$K,700,K
511,CaGd0.96Mn0.04O3,1.34638,W/m$\cdot$K,700,K
512,Ca0.7Ho0.3MnO3,1.524264065,W/m$\cdot$K,400,K
513,CaMn0.96Ru0.04O3,3.75786,W/m$\cdot$K,400,K
514,ZnO,14.65,W/m$\cdot$K,700,K
515,Bi2Sr2Co2O8,2.18498,W/m$\cdot$K,300,K
516,Mg2Si0.6Ge0.4Bi0.02,2.62,W/m$\cdot$K,400,K
517,CuCr0.99Mg0.01O2,6.9663,W/m$\cdot$K,300,K
518,SrDy0.08Ti0.92O3,3.74,W/m$\cdot$K,400,K
519,CuCr0.97Mg0.03O2,5.6659,W/m$\cdot$K,700,K
520,Mg2Si0.98Ag0.02,3.16,W/m$\cdot$K,1000,K
521,Bi2Sr2Co2O8,1.9731,W/m$\cdot$K,1000,K
522,CuCr0.96Mg0.04O2,8.7669,W/m$\cdot$K,400,K
523,Mo6Te6S2,2.3744400000000003,W/m$\cdot$K,400,K
524,Ca2.7Na0.3Co4O9,1.9,W/m$\cdot$K,400,K
525,Ca0.9Bi0.1MnO3,1.8414,W/m$\cdot$K,1000,K
526,CeFe4Sb12,1.57,W/m$\cdot$K,400,K
527,In0.2Co4Sb12,2.2137700000000002,W/m$\cdot$K,400,K
528,Tl0.02Pb0.98Te,1.0099,W/m$\cdot$K,700,K
529,In1.998Ge0.002O3,2.93072,W/m$\cdot$K,1000,K
530,Mg2Si0.98Bi0.02,5.63,W/m$\cdot$K,400,K
531,Sr0.61Ba0.39Nb2O6,1.6669999999999998,W/m$\cdot$K,300,K
532,SrNd0.24Ti0.76O3,5.98,W/m$\cdot$K,300,K
533,ZrNiSn,6.6417,W/m$\cdot$K,1000,K
534,TiNiSn,5.1951,W/m$\cdot$K,400,K
535,LaCoO3,1.87927,W/m$\cdot$K,300,K
536,Zn4Sb3,1.01,W/m$\cdot$K,300,K
537,Si0.7956Ge0.1989P0.0055,4.22929,W/m$\cdot$K,400,K
538,Nd2Cu0.98Zn0.02O4,17.1,W/m$\cdot$K,300,K
539,Zr0.35Hf0.35Ti0.3NiSn,3.17,W/m$\cdot$K,300,K
540,La3Te3.65Sb0.35,1.85,W/m$\cdot$K,1000,K
541,Zn4Sb3,0.743,W/m$\cdot$K,700,K
542,Ba0.3Sr0.6La0.1TiO3,3.36,W/m$\cdot$K,400,K
543,La2.74Te4,1.24,W/m$\cdot$K,300,K
544,CaYb0.1Mn0.9O3,1.58304,W/m$\cdot$K,1000,K
545,CaGd0.96Mn0.04O3,1.6149,W/m$\cdot$K,400,K
546,Ba8Au5.14Si39.51,1.61,W/m$\cdot$K,400,K
547,Zr0.4Hf0.4Ti0.2NiSn,3.8139999999999996,W/m$\cdot$K,300,K
548,Mo3Te4,5.29114,W/m$\cdot$K,1000,K
549,Mg2Si0.98Bi0.02,7.13,W/m$\cdot$K,300,K
550,La3Te3.8Sb0.2,2.66,W/m$\cdot$K,1000,K
551,Ba8Au6.10Si38.97,2.95,W/m$\cdot$K,700,K
552,La2.74Te4,1.17,W/m$\cdot$K,400,K
553,Mg2Si0.9985Bi0.0015,3.29,W/m$\cdot$K,700,K
554,Ca3Co4O9,1.75,W/m$\cdot$K,1000,K
555,Ca0.9Tb0.1MnO3,1.571097028,W/m$\cdot$K,400,K
556,Mg2Si0.98Ag0.02,7.83,W/m$\cdot$K,300,K
557,CaYb0.15Mn0.85O3,1.6696099999999998,W/m$\cdot$K,700,K
558,CuCr0.99Mg0.01O2,5.7042,W/m$\cdot$K,700,K
559,Pb1.8S1.8Ti2S4,2.9,W/m$\cdot$K,300,K
560,Nd2Cu0.98Zn0.02O4,11.1,W/m$\cdot$K,400,K
561,SrNd0.24Ti0.76O3,3.22,W/m$\cdot$K,1000,K
562,Ca2Co2O5,2.9,W/m$\cdot$K,1000,K
563,Mg2Si0.6Ge0.4Bi0.02,2.98,W/m$\cdot$K,300,K
564,Si0.79936Ge0.19984B0.0008,3.8165699999999996,W/m$\cdot$K,700,K
565,Nd2Cu0.98Zn0.02O4,5.22,W/m$\cdot$K,700,K
566,ZnO,48.7,W/m$\cdot$K,300,K
567,In1.8Ge0.2O3,1.63073,W/m$\cdot$K,1000,K
568,Ca0.9Y0.1MnO3,1.488878233,W/m$\cdot$K,300,K
569,NbCo1.05Sn,7.00955,W/m$\cdot$K,400,K
570,SrNd0.2Ti0.8O3,3.45,W/m$\cdot$K,700,K
571,Cr1.3Mo6S8,1.9384,W/m$\cdot$K,300,K
572,Ba8Au5.59Si39.01,1.77,W/m$\cdot$K,300,K
573,In1.994Ge0.006O3,4.58432,W/m$\cdot$K,700,K
574,Ba8Ga16Ge30,1.52,W/m$\cdot$K,300,K
575,Pb0.97Sr0.02TeNa0.01,3.07,W/m$\cdot$K,300,K
576,La3Te3.65Sb0.35,2.06,W/m$\cdot$K,400,K
577,CaMnO3,3.1783,W/m$\cdot$K,400,K
578,Pb0.98TeNa0.02,3.18,W/m$\cdot$K,400,K
579,Ca2.4Na0.3Bi0.3Co4O9,2.0,W/m$\cdot$K,300,K
580,CaYb0.15Mn0.85O3,1.57067,W/m$\cdot$K,400,K
581,Ca0.9Ho0.1MnO3,1.470944215,W/m$\cdot$K,1000,K
582,NbCo1.10Sn,6.23152,W/m$\cdot$K,700,K
583,Mg2Si0.995Bi0.005,5.41,W/m$\cdot$K,400,K
584,NbCo1.10Sn,5.80227,W/m$\cdot$K,300,K
585,In0.3Co4Sb12,2.15872,W/m$\cdot$K,400,K
586,Nd2CuO4,4.19,W/m$\cdot$K,700,K
587,Ca4.95Na0.05Al2Sb6,1.2,W/m$\cdot$K,400,K
588,Ti0.98Nb0.02NiSn,5.975,W/m$\cdot$K,1000,K
589,CuCrO2,3.7083,W/m$\cdot$K,1000,K
590,Ca0.9Yb0.1MnO3,1.58808,W/m$\cdot$K,1000,K
591,Ba8Ga18Ge28,1.5,W/m$\cdot$K,300,K
592,Sr3Ti1.6Nb0.4O7,2.72,W/m$\cdot$K,700,K
593,Zr0.5Hf0.5NiSn,3.2739999999999996,W/m$\cdot$K,700,K
594,Zr0.95Nb0.05NiSn,8.8594,W/m$\cdot$K,300,K
595,Ba8Ga16Ge30,1.26,W/m$\cdot$K,1000,K
596,NaCo2O4,13.53,W/m$\cdot$K,400,K
597,Ba8Ga16Ge30,2.0,W/m$\cdot$K,300,K
598,Mg2Si0.997Bi0.003,4.76,W/m$\cdot$K,400,K
599,TiNiSn,6.4417,W/m$\cdot$K,1000,K
600,Ag9TlTe5,0.21,W/m$\cdot$K,400,K
601,Ca2Co2O5,2.35,W/m$\cdot$K,400,K
602,Sr0.61Ba0.39Nb2O6,2.1717,W/m$\cdot$K,700,K
603,In1.94Ge0.06O3,3.8999900000000003,W/m$\cdot$K,700,K
604,Pb0.94Sr0.04TeNa0.02,2.85,W/m$\cdot$K,300,K
605,In0.25Co4Sb12,2.26473,W/m$\cdot$K,400,K
606,Ca0.96Bi0.04Mn0.96Nb0.04O3,2.2675,W/m$\cdot$K,300,K
607,WO2.9,3.4727,W/m$\cdot$K,700,K
608,Ca0.98Bi0.02Mn0.98Nb0.02O3,2.27454,W/m$\cdot$K,400,K
609,Zr0.5Hf0.5NiSn1.998Sb0.002,2.712932995,W/m$\cdot$K,400,K
610,CeFe3.5Co0.5Sb14,2.49,W/m$\cdot$K,700,K
611,SrTi0.8Nb0.2O3,4.92,W/m$\cdot$K,700,K
612,NaCo2O4,2.093,W/m$\cdot$K,700,K
613,CuCrO2,4.8843,W/m$\cdot$K,700,K
614,Zr0.5Hf0.5NiSn,3.113096927,W/m$\cdot$K,700,K
615,La2.74Te4,0.893,W/m$\cdot$K,1000,K
616,Bi1.2S1.2Ti2S4,2.41,W/m$\cdot$K,400,K
617,Mn1.3Mo6S8,2.8822,W/m$\cdot$K,1000,K
618,Zn0.99Al0.01O,13.525,W/m$\cdot$K,700,K
619,CuCr0.99Mg0.01O2,6.4029,W/m$\cdot$K,400,K
620,La3Te3.8Sb0.2,2.4019999999999997,W/m$\cdot$K,300,K
621,Ca2.7Bi0.3Co4O9,2.0,W/m$\cdot$K,700,K
622,In0.05Co4Sb12,1.56386,W/m$\cdot$K,700,K
623,CaMn0.98Nb0.02O3,2.07513,W/m$\cdot$K,400,K
624,Ba8Ga16Ge30,2.0,W/m$\cdot$K,700,K
625,CuCr0.95Mg0.05O2,9.0158,W/m$\cdot$K,400,K
626,Zn0.9975Al0.0025O,2.78,W/m$\cdot$K,300,K
627,Ag0.15Sb0.15Te1.15Ge0.85,1.53108,W/m$\cdot$K,400,K
628,In1.9Ge0.1O3,3.24419,W/m$\cdot$K,700,K
629,Zr0.4Hf0.4Ti0.2NiSn,3.345,W/m$\cdot$K,400,K
630,Li0.0242Ni0.9758O,3.7507800000000002,W/m$\cdot$K,400,K
631,Ca0.7Tb0.3MnO3,2.170001556,W/m$\cdot$K,300,K
632,TiNiSn,7.72,W/m$\cdot$K,300,K
633,Ba8Ga16Ge30,1.56,W/m$\cdot$K,700,K
634,Fe1.94Ti0.06O3,3.35,W/m$\cdot$K,1000,K
635,Zn4Sb3,0.743,W/m$\cdot$K,400,K
636,In1.9Ge0.1O3,6.84738,W/m$\cdot$K,300,K
637,Yb14MnSb11,0.84,W/m$\cdot$K,300,K
638,BaPbO3,5.11561,W/m$\cdot$K,700,K
639,In0.05Co4Sb12,2.08661,W/m$\cdot$K,300,K
640,SrNd0.24Ti0.76O3,5.29,W/m$\cdot$K,400,K
641,CaMn0.98Nb0.02O3,1.63069,W/m$\cdot$K,700,K
642,AgCrSe2,0.3998,W/m$\cdot$K,400,K
643,Ba0.6Sr0.4PbO3,2.44509,W/m$\cdot$K,700,K
644,Sb2Te3,3.377777778,W/m$\cdot$K,300,K
645,In0.2Co4Sb12,2.08031,W/m$\cdot$K,400,K
646,Mn1.3Mo6S8,2.3532,W/m$\cdot$K,700,K
647,In0.3Co4Sb12,2.0140000000000002,W/m$\cdot$K,700,K
648,Ca0.9Y0.1MnO3,1.6291577169999998,W/m$\cdot$K,1000,K
649,Ca3Co4O9,2.0,W/m$\cdot$K,300,K
650,Ca0.9Tb0.1MnO3,1.84225,W/m$\cdot$K,1000,K
651,ZrNiSn0.98Sb0.02,8.5,W/m$\cdot$K,300,K
652,Sr0.9Y0.1TiO3,5.0,W/m$\cdot$K,700,K
653,Fe0.998Co0.002Si2,5.34,W/m$\cdot$K,400,K
654,Fe1.96Sn0.04O3,4.22,W/m$\cdot$K,700,K
655,Ca0.9Yb0.1MnO3,1.60943,W/m$\cdot$K,700,K
656,Fe1.96Sn0.04O3,6.84,W/m$\cdot$K,300,K
657,Na0.02Pb0.98Te0.75Se0.25,2.69643,W/m$\cdot$K,300,K
658,Fe0.978Co0.00196Si1.96Y0.04O0.06,4.09,W/m$\cdot$K,400,K
659,Tl0.01Pb0.99Te,1.9421,W/m$\cdot$K,300,K
660,LaFe3CoSb12,1.57,W/m$\cdot$K,700,K
661,Mg1.95Ca0.05Si,5.6,W/m$\cdot$K,300,K
662,SrNd0.2Ti0.8O3,4.83,W/m$\cdot$K,400,K
663,Ca0.96Bi0.04Mn0.96Nb0.04O3,1.8785,W/m$\cdot$K,700,K
664,Ca2.97Na0.03AlSb3,1.24,W/m$\cdot$K,400,K
665,Ca2.7Bi0.3Co4O9,1.9,W/m$\cdot$K,400,K
666,Cu2Se,0.97,W/m$\cdot$K,300,K
667,Ca4.75Na0.25Al2Sb6,1.16,W/m$\cdot$K,400,K
668,Sr0.9Y0.1TiO3,7.0,W/m$\cdot$K,300,K
669,In1.9Ge0.1O3,5.09141,W/m$\cdot$K,400,K
670,Ca0.9Y0.1MnO3,1.6007676919999998,W/m$\cdot$K,700,K
671,Mg1.95Ca0.05Si,4.9,W/m$\cdot$K,400,K
672,Sm1.7Ca0.3MnO3,1.1,W/m$\cdot$K,300,K
673,Cu2Se,0.745,W/m$\cdot$K,1000,K
674,Mn1.3Mo6S8,1.4323,W/m$\cdot$K,300,K
675,Ti0.98Nb0.02NiSn,6.3283,W/m$\cdot$K,400,K
676,Ca3Co4O9,3.444,W/m$\cdot$K,400,K
677,Sr2Ti0.8Nb0.2O4,1.92,W/m$\cdot$K,1000,K
678,Zr0.98Nb0.02NiSn,8.6783,W/m$\cdot$K,400,K
679,Sn1.2S1.2Ti2S4,1.69,W/m$\cdot$K,700,K
680,In2O3,2.9762299999999997,W/m$\cdot$K,1000,K
681,Ti0.99Nb0.01NiSn,4.8184,W/m$\cdot$K,700,K
682,Fe1.94Ti0.06O3,6.39,W/m$\cdot$K,300,K
683,TlTiPS5,0.7829999999999999,W/m$\cdot$K,300,K
684,In0.3Co4Sb12,2.68777,W/m$\cdot$K,300,K
685,WO2.9,3.6010000000000004,W/m$\cdot$K,1000,K
686,La3Te3.8Sb0.2,2.72,W/m$\cdot$K,700,K
687,Si0.79936Ge0.19984B0.0008,3.59911,W/m$\cdot$K,1000,K
688,Mg2Si0.98Ag0.02,6.06,W/m$\cdot$K,400,K
689,Mo6Te7S,3.09729,W/m$\cdot$K,400,K
690,Ca5Al2Sb6,0.764,W/m$\cdot$K,700,K
691,NaCo2O4,2.2237,W/m$\cdot$K,1000,K
692,Cu4.0Mo6S8,1.7908,W/m$\cdot$K,700,K
693,Zn4Sb3,0.74,W/m$\cdot$K,700,K
694,Zr0.5Hf0.5NiSn1.998Sb0.002,2.946859925,W/m$\cdot$K,700,K
695,Ca0.9Ho0.1MnO3,1.545616006,W/m$\cdot$K,400,K
696,Cu4.0Mo6S8,1.4306,W/m$\cdot$K,400,K
697,La3Te3.35Sb0.65,1.47,W/m$\cdot$K,300,K
698,Tl0.01Pb0.99Te,0.965347,W/m$\cdot$K,700,K
699,La3Te3.65Sb0.35,2.05,W/m$\cdot$K,300,K
700,Ag0.15Sb0.15Te1.15Ge0.85,2.27167,W/m$\cdot$K,1000,K
701,CuCr0.96Mg0.04O2,7.9727,W/m$\cdot$K,700,K
702,Ba8Ga18Ge28,1.4,W/m$\cdot$K,400,K
703,ZrNiSn,10.1428,W/m$\cdot$K,300,K
704,Pb0.94Sr0.04TeNa0.02,0.98,W/m$\cdot$K,1000,K
705,In1.8Ge0.2O3,1.83597,W/m$\cdot$K,700,K
706,TiNiSn,7.71,W/m$\cdot$K,1000,K
707,La2.99Te4,2.46,W/m$\cdot$K,300,K
708,Ba7SrAl16Si30,2.57,W/m$\cdot$K,1000,K
709,CuCrO2,6.5859,W/m$\cdot$K,300,K
710,Mg2Si0.995Bi0.005,4.29,W/m$\cdot$K,700,K
711,Zr0.98Nb0.02NiSn,10.0594,W/m$\cdot$K,300,K
712,Fe1.96Ti0.04O3,6.87,W/m$\cdot$K,400,K
713,Fe0.978Co0.00196Si1.96Y0.04O0.06,3.95,W/m$\cdot$K,700,K
714,Si0.8Ge0.2,2.44922,W/m$\cdot$K,300,K
715,Na0.02Pb0.98Te,1.39286,W/m$\cdot$K,700,K
716,Zn0.99Al0.01O,30.21,W/m$\cdot$K,400,K
717,Zn0.9975Al0.0025O,2.687,W/m$\cdot$K,400,K
718,Fe0.978Co0.00196Si1.96Y0.04O0.06,4.59,W/m$\cdot$K,300,K
719,Ca0.9Tb0.1MnO3,1.48358962,W/m$\cdot$K,300,K
720,Zr0.98Nb0.02NiSn,6.2083,W/m$\cdot$K,1000,K
721,SrDy0.08Ti0.92O3,2.97,W/m$\cdot$K,1000,K
722,Fe0.998Co0.002Si2,4.9,W/m$\cdot$K,700,K
723,Pb0.94Sr0.04TeNa0.02,1.18,W/m$\cdot$K,700,K
724,Sr0.146Ga0.285Ge0.569,1.06,W/m$\cdot$K,300,K
725,Zr0.99Nb0.01NiSn,9.6761,W/m$\cdot$K,300,K
726,SrNd0.17Ti0.83O3,3.87,W/m$\cdot$K,700,K
727,Si0.7956Ge0.1989P0.0055,4.139469999999999,W/m$\cdot$K,300,K
728,AgCrSe2,0.2056,W/m$\cdot$K,700,K
729,CuCr0.96Mg0.04O2,9.2934,W/m$\cdot$K,300,K
730,Mg2Si0.98Ag0.02,3.67,W/m$\cdot$K,700,K
731,NbCoSn,9.74108,W/m$\cdot$K,700,K
732,Zr0.5Hf0.5NiSn,3.948955807,W/m$\cdot$K,300,K
733,Zn4Sb3,0.74,W/m$\cdot$K,400,K
