,composition,crystallinity,synthesis,spacegroup,rho (ohm.cm),S [muV/K],PF [W/mK^2],zT,kappa [W/mK],sigma [S/cm],T [K],src
143,CuCr0.98Mg0.02O2,Polycrystalline,"Solid state reaction, air",166.0,0.569216,332.182,1.9385e-05,0.001155855,6.7086,1.7568,400.0,http://dx.doi.org/10.1109/ICT.2006.331288
144,La1.85Sr0.15CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),139.0,0.00376365,1.0,2.657e-08,,,265.7,1000.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
145,Ca0.7Tb0.3MnO3,Polycrystalline,Solid state reaction,62.0,0.00525905,-55.34,5.8243e-05,0.0278775,1.462482104,190.15,700.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
146,Zn0.95Al0.05O,Polycrystalline,"Solid state reaction, air",186.0,0.001548817,-173.816,0.0019507,0.038531371,20.25,569.01,400.0,http://dx.doi.org/10.1039/A602506D
147,Al0.02Zn0.98O,Polycrystalline,Solid state reaction,186.0,110.6684374,-289.98,7.5983e-08,0.0,18.0719,0.009036,,http://dx.doi.org/10.1111/j.1551-2916.2005.00131.x
148,Ba0.4Sr0.6PbO3,Polycrystalline,Solid state reaction (under oxygen),62.0,0.00351048,-117.92,0.00039612,0.139855751,1.98266,284.86,700.0,http://dx.doi.org/10.1023/A:1018515223271
149,Fe1.3Mo6S8,Polycrystalline,"Solid state reaction, vacuum",148.0,0.00065,22.6264,7.8762e-05,0.015874132,1.4885,1538.5,300.0,http://dx.doi.org/10.1007/s11664-009-0975-0
150,Ca5Al2Sb6,Polycrystalline,"Solid state reaction, Ar",55.0,0.4571,470.0,4.8326e-05,0.009414235,1.54,2.1877,300.0,http://dx.doi.org/10.1002/adfm.201000970
151,La3Te3.35Bi0.65,Polycrystalline,"Solid state reaction, Ar",220.0,0.00535,-69.5,9.0285e-05,0.019734436,1.83,186.92,400.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
152,La0.99Sr0.01CoO3,Polycrystalline,Solid state reaction,15.0,0.001230269,32.48,8.575e-05,,,812.83,700.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
153,In1.9Ge0.1O3,Polycrystalline,Solid state reaction,206.0,0.00208663,-117.444,0.00066102,0.262891577,2.51443,479.24,1000.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
154,Ca0.9La0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.008549054,-116.934,0.00015994,,,116.97,700.0,http://dx.doi.org/10.1006/jssc.1995.1384
155,CaGd0.98Mn0.02O3,Polycrystalline,Co-precipitation,62.0,0.022702713,-235.33,0.00024393,,,44.048,1000.0,http://dx.doi.org/10.1111/j.1551-2916.2010.03673.x
156,La0.9Bi0.1NiO3,Polycrystalline,"Evaporate nitrates (1173 K, air)",167.0,0.0041267,-28.46,1.9626e-05,,,242.32,700.0,http://dx.doi.org/10.1557/PROC-793-S3.3
157,W0.95O2.95Co0.1O0.15,Polycrystalline,Solid state reaction,2.0,20.23705688,120.122,7.1301e-08,,,0.049414,700.0,http://dx.doi.org/10.1007/s10854-011-0574-8
158,K2Bi8Se13,Polycrystalline,Solid state reaction + extra,11.0,0.032463527,-196.16,0.00011853,0.027669081,1.28517,30.804,300.0,http://dx.doi.org/10.1021/cm970397e
159,Zn0.995Al0.005O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.0154224,-162.876,0.00017201,,,64.841,700.0,http://dx.doi.org/10.1007/s11664-009-0815-2
160,Ba8Au5.59Si39.01,Polycrystalline,"Melted, inert",223.0,0.00275,136.48,0.00067734,0.19673713,2.41,363.64,700.0,http://dx.doi.org/10.1063/1.3682585
161,Ba8Au6.10Si38.97,Polycrystalline,"Melted, inert",223.0,0.000702,56.99,0.00046266,0.079426289,2.33,1424.5,400.0,http://dx.doi.org/10.1063/1.3682585
162,Sr0.8La0.2TiO3,Polycrystalline,"Solid state reaction, Ar",221.0,0.000533678,-64.7,0.00078439,,,1873.8,400.0,http://dx.doi.org/10.1016/S0925-8388(02)00972-6
163,Mg2Si,Polycrystalline,"Bridgman method, Ar-H gas",225.0,0.00173,-205.0,0.0024292,0.157996146,6.15,578.03,400.0,http://dx.doi.org/10.1016/j.jcrysgro.2006.10.270
164,La1.61Sr0.39Cu0.94Ti0.06O4,Polycrystalline,Solid state reaction,139.0,0.0032,130.0,0.00052813,,,312.5,300.0,http://dx.doi.org/10.1016/j.ssc.2012.03.013
165,La3Te3.35Sb0.65,Polycrystalline,"Solid state reaction, Ar",220.0,0.00721,-159.3,0.00035196,0.210575803,1.17,138.7,700.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
166,CeFe2.5Co1.5Sb12,Polycrystalline,"Melted, vacuum",204.0,0.00330908,162.016,0.00079325,,,302.2,700.0,http://www.jstor.org/stable/2889796
167,Ca0.9Ce0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.006446871,-55.3822,4.7576e-05,,,155.11,400.0,http://dx.doi.org/10.1006/jssc.1995.1384
168,Ca0.94La0.06MnO3,Polycrystalline,Solid state reaction,62.0,0.012167108,-103.74,8.8443e-05,,,82.189,300.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
169,NbCo1.05Sn,Single crystal,Floating zone melting,216.0,0.00233598,-236.772,0.0023999,0.232283937,7.2322,428.09,700.0,http://dx.doi.org/10.1063/1.2828713
170,WO2.722,Polycrystalline,Spark plasma sintering,10.0,0.000304651,-33.86,0.00037642,0.059798731,6.2948,3282.4,1000.0,Personal communication
171,CaGd0.94Mn0.06O3,Polycrystalline,Co-precipitation,62.0,0.008865405,-144.73,0.00023627,0.121469186,1.94512,112.8,1000.0,http://dx.doi.org/10.1111/j.1551-2916.2010.03673.x
172,Ca0.9Bi0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.003705584,-82.6524,0.00018435,0.015401826,3.5909,269.86,300.0,http://dx.doi.org/10.1006/jssc.1995.1384
173,SrNd0.24Ti0.76O3,Polycrystalline,"Solid state reaction, air",221.0,0.001862197,-80.7,0.00034972,0.06510758,3.76,537.0,700.0,http://dx.doi.org/10.1007/978-3-540-88201-5_24
174,Sr0.9La0.1TiO3,Polycrystalline,"Solid state reaction, Ar",221.0,0.002614215,-97.6,0.00036438,0.018590979,5.88,382.52,300.0,http://dx.doi.org/10.1016/S0925-8388(02)00972-6
175,Zr0.4Hf0.4Ti0.2NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.0021511,-287.251,0.0038359,,,464.88,700.0,http://dx.doi.org/10.1016/j.jallcom.2004.05.078
176,Mn1.3Mo6S8,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000736538,30.9869,0.00013037,0.032042529,1.6274,1357.7,400.0,http://dx.doi.org/10.1007/s11664-009-0975-0
177,In1.998Ge0.002O3,Polycrystalline,Solid state reaction,206.0,0.00337115,-146.168,0.00063376,0.113093689,3.92271,296.63,700.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
178,Ca0.7Y0.3MnO3,Polycrystalline,Solid state reaction,62.0,0.00649209,-41.63,2.6697e-05,0.00727684,1.46749541,154.03,400.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
179,CaMnO3,Polycrystalline,Solid state reaction,62.0,0.643244379,-477.48,3.5444e-05,0.012122034,2.04673,1.5546,700.0,http://dx.doi.org/10.1016/j.jallcom.2009.08.012
180,Sr8Ga16Ge30,Polycrystalline,"Melted, Ar",223.0,0.000786,-71.9,0.00065771,,,1272.3,300.0,http://dx.doi.org/10.1109/ICT.1999.843362
181,Ca0.7Ho0.3MnO3,Polycrystalline,Solid state reaction,11.0,0.00376682,-50.98,6.8989e-05,0.03408846,1.416678012,265.48,700.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
182,Ca0.9Ho0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.00669346,-72.01,7.748e-05,0.01419657,1.637290898,149.4,300.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
183,SrDy0.08Ti0.92O3,Polycrystalline,"Solid state reaction, air",221.0,0.004587156,-147.0,0.00047108,0.104023136,3.17,218.0,700.0,http://dx.doi.org/10.1007/978-3-540-88201-5_24
184,Ca2.4Na0.3Bi0.3Co4O9,Polycrystalline,"Solid state reaction, air",12.0,0.007622,205.0,0.00055136,0.315065412,1.75,131.2,1000.0,http://dx.doi.org/10.1063/1.1480115
185,YbBiRu2O7,Polycrystalline,Solid state reaction,227.0,0.00181126,35.86,7.0995e-05,,,552.1,1000.0,http://dx.doi.org/10.1016/S0167-577X(01)00317-2
186,Ba8Au6.10Si38.97,Polycrystalline,"Melted, inert",223.0,0.000617,46.24,0.00034654,0.047688674,2.18,1620.7,300.0,http://dx.doi.org/10.1063/1.3682585
187,ZrNi1.98Cu0.02Sn,Polycrystalline,"Arc melted, Ar",216.0,0.00105,-133.0,0.0016847,0.063333333,7.98,952.38,300.0,http://dx.doi.org/10.1016/j.jallcom.2004.02.061
188,Ca0.7Ho0.3MnO3,Polycrystalline,Solid state reaction,11.0,0.00422589,-64.7,9.9069e-05,0.061941,1.599402623,236.64,1000.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
189,SrMn0.96Mo0.04O3,Polycrystalline,"Solid state reaction, air",194.0,0.0151768,-105.047,7.2709e-05,,,65.89,400.0,http://dx.doi.org/10.1016/j.progsolidstchem.2007.01.027
190,CeFe2Co2Sb12,Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,0.00391,126.0,0.00040604,,,255.75,300.0,http://dx.doi.org/10.1109/ICT.1996.553263
191,Ti0.95Nb0.05NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.000395775,-110.94,0.0031098,0.195021878,6.3783,2526.7,400.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
192,NiO,Polycrystalline,Solid state reaction,225.0,14.64759355,642.62,2.8193e-06,,,0.068271,1000.0,http://dx.doi.org/10.1143/JJAP.38.L1336
193,Ca0.92La0.08MnO3,Polycrystalline,Solid state reaction,62.0,0.009966115,-83.24,6.9532e-05,,,100.34,300.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
194,WO3,Polycrystalline,Solid state reaction,2.0,809.8083993,107.578,1.4291e-09,,,0.0012349,400.0,http://dx.doi.org/10.1007/s10854-011-0574-8
195,Zr0.99Nb0.01NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.001348732,-228.446,0.0038694,0.447571084,6.0517,741.44,700.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
196,Fe1.94Ti0.06O3,Polycrystalline,"Solid state reaction, air",2.0,0.075870807,-292.02,0.00011239,0.018127751,4.34,131800.0,700.0,http://dx.doi.org/10.1016/S0925-8388(01)01804-7
197,La1.95Sr0.05CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),64.0,0.0158385,120.0,9.0918e-05,,,63.137,700.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
198,Na0.02Pb0.98Te,Polycrystalline,Melted,225.0,0.000569421,105.0,0.0019362,0.289521835,2.675,1756.2,400.0,http://dx.doi.org/10.1038/nature09996
199,CuRh0.99Mg0.01O2,Polycrystalline,"Solid state reaction, air",166.0,0.0656,259.0,0.00010226,,,15.244,400.0,http://dx.doi.org/10.1103/PhysRevB.80.115103
200,Ca0.9Yb0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.0040566,-90.28,0.00020091,0.049042114,1.63871,246.51,400.0,http://dx.doi.org/10.1063/1.2362922
201,ZnO,Polycrystalline,Solid state reaction,186.0,3.224831297,-549.67,9.3692e-06,0.0,7.33252,0.31009,,http://dx.doi.org/10.1111/j.1551-2916.2005.00131.x
202,AgCrSe2,Polycrystalline,"Solid state reaction, sealed",160.0,0.0445463,279.207,0.000175,0.054916687,0.956,22.449,300.0,http://dx.doi.org/10.1021/cm200581k
203,CuFe0.9Cr0.1O2,Polycrystalline,Solid state reaction,166.0,0.107079,277.076,7.1696e-05,,,9.3389,300.0,http://dx.doi.org/10.1007/s11664-009-0815-2
204,Sr0.145Ga0.302Ge0.553,Polycrystalline,Solid state reaction,223.0,0.0129,-320.0,0.0007938,0.293999426,0.81,77.519,300.0,http://dx.doi.org/10.1063/1.121747
205,Ba8Ga16Sn30,Polycrystalline,"Melted, Ar",223.0,0.00694,-138.0,0.00027441,,,144.09,700.0,http://dx.doi.org/10.1109/ICT.1999.843362
206,CeFe4Sb12,Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,0.000771,58.2,0.00043933,0.085031756,1.55,1297.0,300.0,http://dx.doi.org/10.1109/ICT.1996.553263
207,La0.45Ca2.55Co4O9,Polycrystalline,"Sol-gel, air",12.0,0.03725033,73.0975,1.4344e-05,,,26.845,400.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
208,CaMn6CuO12,Polycrystalline,"Solid state reaction, air",194.0,0.247652,-13.1349,6.9665e-08,,,4.0379,300.0,http://dx.doi.org/10.1063/1.1687532
209,Bi2Sr2Co2O8,Single crystal,Solid state reaction + extra,,0.00238192,120.0,0.00060454,0.113817986,2.1246,419.83,400.0,http://dx.doi.org/10.1063/1.1502190
210,In1.994Ge0.006O3,Polycrystalline,Solid state reaction,206.0,0.000942337,-62.4767,0.00041422,0.022990066,7.20692,1061.2,400.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
211,Zn0.95Al0.05O,Polycrystalline,"Solid state reaction, air",186.0,0.002818383,-200.026,0.0014196,0.227868794,6.23,332.43,1000.0,http://dx.doi.org/10.1039/A602506D
212,La0.8Sr0.2CoO3,Polycrystalline,Solid state reaction,15.0,0.000498884,10.17,2.0732e-05,,,2004.5,700.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
213,La1.725Sr0.28CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),139.0,0.000676029,0.1,1.4792e-09,,,1479.2,400.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
214,Ba8Ga16Ge30,Single crystal,"Czochralski method, argon",223.0,0.000791,-75.0,0.00071113,0.15891065,1.79,1264.2,400.0,http://dx.doi.org/10.1063/1.2163979
215,Na0.02Pb0.98Te0.75Se0.25,Polycrystalline,Melted,225.0,0.00163306,205.24,0.0025794,1.392715388,1.29643,612.35,700.0,http://dx.doi.org/10.1038/nature09996
216,La0.45Ca2.55Co4O9,Polycrystalline,"Sol-gel, air",12.0,0.043094346,65.3296,9.9038e-06,,,23.205,300.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
217,NbCo1.05Sn,Single crystal,Floating zone melting,216.0,0.00297916,-250.86,0.0021124,0.27533795,7.6719,335.67,1000.0,http://dx.doi.org/10.1063/1.2828713
218,LaCoO3,Polycrystalline,Solid state reaction,15.0,0.38388399,140.3,5.1276e-06,,,2.605,400.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
219,Sn1.2S1.2Ti2S4,Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,0.000478,-64.8,0.00087846,0.099074464,2.66,2092.1,300.0,http://dx.doi.org/10.3390/ma3042606
220,In1.985Ge0.015O3,Polycrystalline,Solid state reaction,206.0,0.000817897,-56.5928,0.00039158,0.022224564,7.04775,1222.6,400.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
221,Zr0.15Hf0.15Ti0.7NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00313369,-264.835,0.0022382,0.291429498,3.072,319.11,400.0,http://dx.doi.org/10.1063/1.1868063
222,Ca0.7Y0.3MnO3,Polycrystalline,Solid state reaction,62.0,0.00707093,-60.8,5.2271e-05,0.0340102,1.536920596,141.42,1000.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
223,Sr8Ga16Ge30,Polycrystalline,"Melted, Ar",223.0,0.000914,-94.9,0.00098534,,,1094.1,400.0,http://dx.doi.org/10.1109/ICT.1999.843362
224,SrNb0.15Ti0.85O3,Polycrystalline,"Solid state reaction, Ar",221.0,0.375476856,-47.5373,6.0185e-07,5.12646e-05,4.696,2.6633,400.0,http://dx.doi.org/10.1016/j.jallcom.2010.06.195
225,SrTi0.8Nb0.2O3,Polycrystalline,"Solid state reaction, air",221.0,0.005626132,-163.115,0.00047291,0.185091706,2.555,177.74,1000.0,http://orbit.dtu.dk/en/publications/improvement-of-niobium-doped-srtio3-by-nanostructuring(2b6f4b33-1a6f-4472-ac18-6996f91cd743).html
226,Bi83Sb17,Polycrystalline,"Melted, vacuum",166.0,0.000285183,-61.6,0.0013304,,,3506.5,400.0,http://dx.doi.org/10.1016/j.jpcs.2004.01.010
227,Mg2Si0.9985Bi0.0015,Polycrystalline,"Mechanochemical, Ar",225.0,0.00082,-107.0,0.0013962,0.059161844,7.08,1219.5,300.0,http://dx.doi.org/10.1039/C1JM10827A
228,ZnO,Polycrystalline,"Solid state reaction, air",186.0,0.060526459,-190.963,6.0249e-05,,,16.522,1000.0,http://dx.doi.org/10.1016/j.jeurceramsoc.2006.04.012
229,Ca0.9Y0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.017598384,-107.567,6.5748e-05,,,56.823,1000.0,http://dx.doi.org/10.1006/jssc.1995.1384
230,Bi83Sb17,Polycrystalline,"Melted, vacuum",166.0,0.000259558,-75.2,0.0021801,,,3852.7,300.0,http://dx.doi.org/10.1016/j.jpcs.2004.01.010
231,CaGd0.96Mn0.04O3,Polycrystalline,Co-precipitation,62.0,0.014867258,-162.39,0.00017738,0.029786338,1.78652,67.262,300.0,http://dx.doi.org/10.1111/j.1551-2916.2010.03673.x
232,SrTi0.8Nb0.2O3,Polycrystalline,"Solid state reaction, air",221.0,0.004541079,-76.9741,0.00013048,0.006089889,8.57,220.21,400.0,http://orbit.dtu.dk/en/publications/improvement-of-niobium-doped-srtio3-by-nanostructuring(2b6f4b33-1a6f-4472-ac18-6996f91cd743).html
233,Mg2Si0.6Ge0.4Ag0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,0.0149,318.8,0.0006821,0.185786979,2.57,67.114,700.0,http://dx.doi.org/10.1007/s11664-009-0735-1
234,Ca0.9Ce0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.007892598,-80.4739,8.2052e-05,,,126.7,1000.0,http://dx.doi.org/10.1006/jssc.1995.1384
235,Ba0.3Sr0.6La0.1TiO3,Polycrystalline,"Solid state reaction , Ar",221.0,0.00273,-163.0,0.00097322,0.356678749,1.91,366.3,700.0,http://dx.doi.org/10.1016/j.jallcom.2003.07.016
236,Zn0.9925Al0.0075O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.0103143,-113.952,0.00012589,,,96.953,300.0,http://dx.doi.org/10.1007/s11664-009-0815-2
237,CaMnO3,Polycrystalline,"Solid state reaction, air",62.0,0.485187234,-332.067,2.2727e-05,0.004804282,3.3114,2.0611,700.0,http://dx.doi.org/10.1006/jssc.1995.1384
238,Zn0.97Al0.01Ti0.02O,Polycrystalline,"Solid state reaction, air",186.0,0.023522715,-139.044,8.219e-05,,,42.512,700.0,http://dx.doi.org/10.1016/j.jeurceramsoc.2006.04.012
239,CaYb0.1Mn0.9O3,Polycrystalline,Solid state reaction,62.0,0.00614631,-84.6639,0.00011662,0.050580993,1.61396,162.7,700.0,http://dx.doi.org/10.1109/ICT.2006.331291
240,CaYb0.05Mn0.95O3,Polycrystalline,Solid state reaction,62.0,0.00919163,-109.244,0.00012984,0.026137018,1.49028,108.79,300.0,http://dx.doi.org/10.1109/ICT.2006.331291
241,Li0.0184Ni0.9816O,Polycrystalline,Solid state reaction,225.0,0.006660716,105.17,0.00016606,,,150.13,1000.0,http://dx.doi.org/10.1143/JJAP.38.L1336
242,La0.98Sr0.02CoO3,Polycrystalline,Solid state reaction,15.0,0.069183097,330.0,0.00015741,0.026234732,1.8,14.454,300.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
243,Ba8Ga16Ge30,Single crystal,"Czochralski method, argon",223.0,0.000662,-50.0,0.00037764,0.05839848,1.94,1510.6,300.0,http://dx.doi.org/10.1063/1.2163979
244,Sr8Ga16Ge30,Polycrystalline,"Melted, Ar",223.0,0.00141,-139.0,0.0013703,,,709.22,700.0,http://dx.doi.org/10.1109/ICT.1999.843362
245,Ca0.96La0.04MnO3,Polycrystalline,Solid state reaction,62.0,0.015255507,-123.59,0.00010012,,,65.55,400.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
246,Fe0.998Co0.002Si2,Polycrystalline,"Arc-melted, Ar",64.0,0.00605,-87.3,0.00012597,0.025093971,5.02,165.29,1000.0,http://dx.doi.org/10.1016/j.jallcom.2005.04.060
247,CeFe2Co2Sb12,Polycrystalline,"Melted, vacuum",204.0,0.00473037,107.699,0.0002452,,,211.4,300.0,http://www.jstor.org/stable/2889796
248,CeFeCo3Sb12,Polycrystalline,"Melted, vacuum",204.0,0.00608923,-140.861,0.00032585,,,164.22,700.0,http://www.jstor.org/stable/2889796
249,CuCr0.95Mg0.05O2,Polycrystalline,"Solid state reaction, air",166.0,0.0754474,208.131,5.7416e-05,0.001808913,9.5221,13.254,300.0,http://dx.doi.org/10.1109/ICT.2006.331288
250,Nd2CuO4,Polycrystalline,"Solid state reaction, air",139.0,0.00158489,26.27,4.3537e-05,0.011049908,3.94,630.96,1000.0,http://dx.doi.org/10.1002/chin.200318015
251,Mg1.95Ca0.05Si,Polycrystalline,"Melted, Ar",225.0,0.002554,-153.0,0.00091656,0.168840415,3.8,391.54,700.0,http://dx.doi.org/10.1016/j.jallcom.2007.09.101
252,CaMnO3,Polycrystalline,Solid state reaction,62.0,50.0,-462.97,4.2868e-07,,,0.02,300.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
253,TiNiSn,Polycrystalline,Magnetic levitation induction furnace,216.0,0.0051,-245.0,0.001177,0.07005719,6.72,196.08,400.0,http://dx.doi.org/10.1063/1.4765358
254,ZrNi0.76Co0.004Cu0.2Sn,Polycrystalline,"Arc melted, Ar",216.0,0.00876,-95.0,0.00010303,0.005134142,6.02,114.16,300.0,http://dx.doi.org/10.1016/j.jallcom.2004.02.061
255,Fe1.96Ti0.04O3,Polycrystalline,"Solid state reaction, air",2.0,0.072099613,-328.38,0.00014956,0.04224856,3.54,138700.0,1000.0,http://dx.doi.org/10.1016/S0925-8388(01)01804-7
256,K2Bi8Se13,Single crystal,Flux (Bi self-flux),11.0,0.004159267,-219.62,0.0011596,,,240.43,300.0,http://dx.doi.org/10.1021/cm970397e
257,Ca0.9In0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.204613628,-356.591,6.2145e-05,,,4.8873,400.0,http://dx.doi.org/10.1006/jssc.1995.1384
258,In1.985Ge0.015O3,Polycrystalline,Solid state reaction,206.0,0.00113128,-83.3032,0.00061341,0.092961144,4.61902,883.95,700.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
259,Ca0.9Bi0.1Mn0.9Nb0.1O3,Polycrystalline,Solid state reaction,62.0,0.007325377,-72.23,7.1219e-05,,,136.51,300.0,http://dx.doi.org/10.1016/j.jallcom.2009.08.012
260,CeFe1.5Co2.5Sb12,Polycrystalline,"Melted, vacuum",204.0,0.0609811,16.3458,4.3814e-07,,,16.399,300.0,http://www.jstor.org/stable/2889796
261,Sr0.9La0.1TiO3,Polycrystalline,"Solid state reaction, Ar",221.0,0.007932542,-221.0,0.0006157,0.195461682,3.15,126.06,1000.0,http://dx.doi.org/10.1016/S0925-8388(02)00972-6
262,Ca0.9Sn0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,2.301596618,-281.694,3.4477e-06,,,0.43448,400.0,http://dx.doi.org/10.1006/jssc.1995.1384
263,Zr0.15Hf0.15Ti0.7NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00148089,-260.541,0.0045838,1.016372274,3.157,675.27,700.0,http://dx.doi.org/10.1063/1.1868063
264,Zn0.95Al0.05O,Polycrystalline,"Solid state reaction, air",186.0,0.018318575,-164.443,0.00014762,,,54.589,1000.0,http://dx.doi.org/10.1016/j.jeurceramsoc.2006.04.012
265,Zn0.97Al0.02Ti0.01O,Polycrystalline,"Solid state reaction, air",186.0,0.029403376,-147.96,7.4455e-05,,,34.01,700.0,http://dx.doi.org/10.1016/j.jeurceramsoc.2006.04.012
266,CaGd0.94Mn0.06O3,Polycrystalline,Co-precipitation,62.0,0.011351356,-118.52,0.00012375,0.019260696,2.5699,88.095,400.0,http://dx.doi.org/10.1111/j.1551-2916.2010.03673.x
267,Ti0.95Nb0.05NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.000566575,-146.063,0.0037655,0.50190418,5.2517,1765.0,700.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
268,CaGd0.96Mn0.04O3,Polycrystalline,Co-precipitation,62.0,0.010566033,-172.65,0.00028211,0.220343013,1.28033,94.643,1000.0,http://dx.doi.org/10.1111/j.1551-2916.2010.03673.x
269,Ca0.9Sm0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.008634907,-102.175,0.0001209,,,115.81,300.0,http://dx.doi.org/10.1006/jssc.1995.1384
270,Ca3Co4O9,Polycrystalline,"Solid state reaction, air",12.0,0.009901,147.0,0.00021825,0.084875265,1.8,101.0,700.0,http://dx.doi.org/10.1063/1.1480115
271,Ca3AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.5376,315.9,1.8563e-05,0.006750055,1.1,1.8601,400.0,http://dx.doi.org/10.1039/c0ee00517g
272,Fe1.3Mo6S8,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000825962,53.9242,0.00035205,0.103044764,3.4165,1210.7,1000.0,http://dx.doi.org/10.1007/s11664-009-0975-0
273,La1.95Sr0.05CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),64.0,0.0191756,100.0,5.215e-05,,,52.15,1000.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
274,CeFe3CoSb12,Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,0.00129,176.0,0.0024012,0.812013631,2.07,775.19,700.0,http://dx.doi.org/10.1109/ICT.1996.553263
275,Sr0.9La0.1TiO3,Polycrystalline,"Solid state reaction, Ar",221.0,0.003658929,-179.0,0.00087569,0.160048392,3.83,273.3,700.0,http://dx.doi.org/10.1016/S0925-8388(02)00972-6
276,Ca0.9Tb0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.0102451,-152.37,0.00022662,0.141281,1.604043252,97.608,1000.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
277,Fe1.94Ti0.06O3,Polycrystalline,"Solid state reaction, air",2.0,0.205898583,-308.72,4.6289e-05,0.00312239,5.93,48568.0,400.0,http://dx.doi.org/10.1016/S0925-8388(01)01804-7
278,La3Te3.35Bi0.65,Polycrystalline,"Solid state reaction, Ar",220.0,0.0071,-71.0,7.1e-05,0.010828673,1.967,140.85,300.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
279,Sn1.2S1.2Ti2S4,Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,0.00085,-88.8,0.0009277,0.182797798,2.03,1176.5,400.0,http://dx.doi.org/10.3390/ma3042606
280,Zn4Sb3,Polycrystalline,"Solid state reaction, Ar",167.0,0.00217354,135.898,0.00084969,0.325550215,0.783,460.08,300.0,http://dx.doi.org/10.1039/c0jm02011g
281,Pb0.94Sr0.04TeNa0.02,Polycrystalline,Sparks plasma sintering,225.0,0.000844595,128.0,0.0019399,0.364979,2.126,1184.0,400.0,http://dx.doi.org/10.1038/nature11439
282,Ca0.9Nd0.1MnO3,Polycrystalline,Solid state reaction,62.0,0.011934,-90.28,6.8295e-05,0.01132081,2.41307,83.794,400.0,http://dx.doi.org/10.1063/1.2362922
283,Ca2.97Na0.03AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.0172,248.0,0.00035758,0.297984496,0.84,58.14,700.0,http://dx.doi.org/10.1039/c0ee00517g
