,formula,phase,processing,gfa
1727,Al83Mn4Ni13,AC,meltspin,0
1728,Al84Mn4Ni12,AC,meltspin,0
1729,Al84Mn4Ni12,AC,meltspin,0
1730,Al84Mn6Ni10,AC,meltspin,0
1731,Al84Mn6Ni10,AC,meltspin,0
1732,Al85Mn2Ni13,AC,meltspin,0
1733,Al85Mn7Ni8,AC,meltspin,0
1734,Al86Mn0Ni14,AC,meltspin,0
1735,Al86Mn0Ni14,AC,meltspin,0
1736,Al86Mn4Ni10,AC,meltspin,0
1737,Al86Mn4Ni10,AC,meltspin,0
1738,Al86Mn6Ni8,AC,meltspin,0
1739,Al86Mn6Ni8,AC,meltspin,0
1740,Al86Mn8Ni6,AC,meltspin,0
1741,Al88Mn0Ni12,AC,meltspin,0
1742,Al88Mn0Ni12,AC,meltspin,0
1743,Al88Mn2Ni10,AC,meltspin,0
1744,Al88Mn2Ni10,AC,meltspin,0
1745,Al88Mn4Ni8,AC,meltspin,0
1746,Al88Mn4Ni8,AC,meltspin,0
1747,Al88Mn6Ni6,AC,meltspin,0
1748,Al88Mn6Ni6,AC,meltspin,0
1749,Al89Mn2Ni9,AC,meltspin,0
1750,Al90Mn0Ni10,AC,meltspin,0
1751,Al90Mn0Ni10,AC,meltspin,0
1752,Al90Mn2Ni8,AC,meltspin,0
1753,Al90Mn2Ni8,AC,meltspin,0
1754,Al90Mn4Ni6,AC,meltspin,0
1755,Al90Mn4Ni6,AC,meltspin,0
1756,Al90Mn6Ni4,AC,meltspin,0
1757,Al90Mn6Ni4,AC,meltspin,0
1758,Al92Mn0Ni8,AC,meltspin,0
1759,Al92Mn0Ni8,AC,meltspin,0
1760,Al92Mn2Ni6,AC,meltspin,0
1761,Al92Mn2Ni6,AC,meltspin,0
1762,Al92Mn4Ni4,AC,meltspin,0
1763,Al92Mn4Ni4,AC,meltspin,0
1764,Al92Mn6Ni2,AC,meltspin,0
1765,Al92Mn6Ni2,AC,meltspin,0
1766,Al94Mn2Ni4,AC,meltspin,0
1767,Al94Mn2Ni4,AC,meltspin,0
1768,Al94Mn4Ni2,AC,meltspin,0
1769,Al94Mn4Ni2,AC,meltspin,0
1770,Al94Mn0Ni6,CR,meltspin,0
1771,Al94Mn0Ni6,CR,meltspin,0
1772,Al94Mn6Ni0,CR,meltspin,0
1773,Al96Mn0Ni4,CR,meltspin,0
1774,Al96Mn0Ni4,CR,meltspin,0
1775,Al96Mn2Ni2,CR,meltspin,0
1776,Al96Mn2Ni2,CR,meltspin,0
1777,Al96Mn4Ni0,CR,meltspin,0
1778,Al96Mn4Ni0,CR,meltspin,0
1779,Al98Mn0Ni2,CR,meltspin,0
1780,Al98Mn0Ni2,CR,meltspin,0
1781,Al98Mn2Ni0,CR,meltspin,0
1782,Al98Mn2Ni0,CR,meltspin,0
1783,Al100Mn0Ni0,CR,meltspin,0
1784,Al80Mn6Ni14,CR,meltspin,0
1785,Al80Mn8Ni12,CR,meltspin,0
1786,Al82Mn4Ni14,CR,meltspin,0
1787,Al82Mn6Ni12,CR,meltspin,0
1788,Al82Mn8Ni10,CR,meltspin,0
1789,Al84Mn2Ni14,CR,meltspin,0
1790,Al84Mn8Ni8,CR,meltspin,0
1791,Al86Mn8Ni6,CR,meltspin,0
1792,Al88Mn8Ni4,CR,meltspin,0
1793,Al90Mn8Ni2,CR,meltspin,0
1794,Al92Mn8Ni0,CR,meltspin,0
1795,Al80Mn15Ni5,CR,meltspin,0
1796,Al45Mn20Si35,AM,meltspin,1
1797,Al50Mn15Si35,AM,meltspin,1
1798,Al50Mn20Si30,AM,meltspin,1
1799,Al55Mn10Si35,AM,meltspin,1
1800,Al55Mn15Si30,AM,meltspin,1
1801,Al55Mn20Si25,AM,meltspin,1
1802,Al60Mn10Si30,AM,meltspin,1
1803,Al60Mn15Si25,AM,meltspin,1
1804,Al65Mn10Si25,AM,meltspin,1
1805,Al65Mn15Si20,AM,meltspin,1
1806,Al40Mn25Si35,AC,meltspin,0
1807,Al45Mn15Si40,AC,meltspin,0
1808,Al50Mn25Si25,AC,meltspin,0
1809,Al60Mn5Si35,AC,meltspin,0
1810,Al70Mn5Si25,AC,meltspin,0
1811,Al60Mn20Si20,CR,meltspin,0
1812,Al65Mn20Si15,CR,meltspin,0
1813,Al60Mn10Si30,AM,meltspin,1
1814,Al66Mn14Si20,AM,meltspin,1
1815,Al60Mn20Si20,CR,meltspin,0
1816,Al76.6Mn17.4Si6,CR,meltspin,0
1817,Al78.6Mn17.4Si4,CR,meltspin,0
1818,Al66.6Mn17.4Si16,CR,meltspin,0
1819,Al68.6Mn17.4Si14,CR,meltspin,0
1820,Al70.6Mn17.4Si12,CR,meltspin,0
1821,Al72.5Mn17.4Si10.1,CR,meltspin,0
1822,Al74.6Mn17.4Si8,CR,meltspin,0
1823,Al53Mn20Si27,AM,meltspin,1
1824,Al15Mn15Zr70,AM,meltspin,1
1825,Al65Mo5Ni30,AM,meltspin,1
1826,Al70Mo5Ni25,AM,meltspin,1
1827,Al70Mo10Ni20,AM,meltspin,1
1828,Al75Mo5Ni20,AM,meltspin,1
1829,Al75Mo10Ni15,AM,meltspin,1
1830,Al80Mo5Ni15,AM,meltspin,1
1831,Al85Mo3Ni12,AM,meltspin,1
1832,Al85Mo5Ni10,AM,meltspin,1
1833,Al65Nd15Ni20,AM,meltspin,1
1834,Al70Nd10Ni20,AM,meltspin,1
1835,Al70Nd15Ni15,AM,meltspin,1
1836,Al74Nd10Ni16,AM,meltspin,1
1837,Al75Nd10Ni15,AM,meltspin,1
1838,Al75Nd15Ni10,AM,meltspin,1
1839,Al79Nd10Ni11,AM,meltspin,1
1840,Al80Nd5Ni15,AM,meltspin,1
1841,Al80Nd10Ni10,AM,meltspin,1
1842,Al81Nd9Ni10,AM,meltspin,1
1843,Al83Nd7Ni10,AM,meltspin,1
1844,Al83Nd9Ni8,AM,meltspin,1
1845,Al84Nd10Ni6,AM,meltspin,1
1846,Al85Nd5Ni10,AM,meltspin,1
1847,Al85Nd7Ni8,AM,meltspin,1
1848,Al85Nd9Ni6,AM,meltspin,1
1849,Al85Nd10Ni5,AM,meltspin,1
1850,Al86Nd14Ni0,AM,meltspin,1
1851,Al87Nd5Ni8,AM,meltspin,1
1852,Al87Nd7Ni6,AM,meltspin,1
1853,Al88Nd10Ni2,AM,meltspin,1
1854,Al88Nd12Ni0,AM,meltspin,1
1855,Al90Nd5Ni5,AM,meltspin,1
1856,Al90Nd10Ni0,AM,meltspin,1
1857,Al92Nd8Ni0,AM,meltspin,1
1858,Al80Nd15Ni5,AC,meltspin,0
1859,Al65Nd20Ni15,CR,meltspin,0
1860,Al70Nd20Ni10,CR,meltspin,0
1861,Al75Nd5Ni20,CR,meltspin,0
1862,Al75Nd20Ni5,CR,meltspin,0
1863,Al94Nd6Ni0,CR,meltspin,0
1864,Al25Nd55Ni20,AM,meltspin,1
1865,Al80Nd2Ni18,AM,meltspin,1
1866,Al80Nd4Ni16,AM,meltspin,1
1867,Al80Nd8Ni12,AM,meltspin,1
1868,Al80Nd10Ni10,AM,meltspin,1
1869,Al80Nd12Ni8,AM,meltspin,1
1870,Al82Nd2Ni16,AM,meltspin,1
1871,Al82Nd4Ni14,AM,meltspin,1
1872,Al82Nd6Ni12,AM,meltspin,1
1873,Al82Nd8Ni10,AM,meltspin,1
1874,Al82Nd10Ni8,AM,meltspin,1
1875,Al84Nd1Ni15,AM,meltspin,1
1876,Al84Nd2Ni14,AM,meltspin,1
1877,Al84Nd4Ni12,AM,meltspin,1
1878,Al84Nd6Ni10,AM,meltspin,1
1879,Al84Nd8Ni8,AM,meltspin,1
1880,Al84Nd10Ni6,AM,meltspin,1
1881,Al84Nd12Ni4,AM,meltspin,1
1882,Al85Nd2Ni13,AM,meltspin,1
1883,Al86Nd1Ni13,AM,meltspin,1
1884,Al86Nd2Ni12,AM,meltspin,1
1885,Al86Nd4Ni10,AM,meltspin,1
1886,Al86Nd6Ni8,AM,meltspin,1
1887,Al86Nd8Ni6,AM,meltspin,1
1888,Al86Nd10Ni4,AM,meltspin,1
1889,Al88Nd1Ni11,AM,meltspin,1
1890,Al88Nd2Ni10,AM,meltspin,1
1891,Al88Nd4Ni8,AM,meltspin,1
1892,Al88Nd6Ni6,AM,meltspin,1
1893,Al88Nd8Ni4,AM,meltspin,1
1894,Al88Nd10Ni2,AM,meltspin,1
1895,Al88Nd12Ni0,AM,meltspin,1
1896,Al90Nd2Ni8,AM,meltspin,1
1897,Al90Nd3Ni7,AM,meltspin,1
1898,Al90Nd4Ni6,AM,meltspin,1
1899,Al90Nd6Ni4,AM,meltspin,1
1900,Al90Nd8Ni2,AM,meltspin,1
1901,Al90Nd10Ni0,AM,meltspin,1
1902,Al92Nd8Ni0,AM,meltspin,1
1903,Al86Nd14Ni0,AC,meltspin,0
1904,Al90Nd1Ni9,AC,meltspin,0
1905,Al92Nd2Ni6,AC,meltspin,0
1906,Al92Nd4Ni4,AC,meltspin,0
1907,Al92Nd6Ni2,AC,meltspin,0
1908,Al94Nd4Ni2,AC,meltspin,0
1909,Al94Nd6Ni0,AC,meltspin,0
1910,Al96Nd4Ni0,AC,meltspin,0
1911,Al98Nd2Ni0,AC,meltspin,0
1912,Al94Nd2Ni4,CR,meltspin,0
1913,Al96Nd2Ni2,CR,meltspin,0
1914,Al52Ni23Si25,AM,meltspin,1
1915,Al66Ni10Si24,AM,meltspin,1
1916,Al71Ni4Si25,AM,meltspin,1
1917,Al79Ni10Si11,AM,meltspin,1
1918,Al65Ni15Si20,AM,meltspin,1
1919,Al65Ni16Si19,AM,meltspin,1
1920,Al65Ni17.5Si17.5,AM,meltspin,1
1921,Al66.5Ni15Si18.5,AM,meltspin,1
1922,Al67.5Ni15Si17.5,AM,meltspin,1
1923,Al70Ni13Si17,AM,meltspin,1
1924,Al70Ni15Si15,AM,meltspin,1
1925,Al65Ni15Sm20,AM,meltspin,1
1926,Al70Ni10Sm20,AM,meltspin,1
1927,Al70Ni15Sm15,AM,meltspin,1
1928,Al70Ni20Sm10,AM,meltspin,1
1929,Al75Ni10Sm15,AM,meltspin,1
1930,Al75Ni15Sm10,AM,meltspin,1
1931,Al78Ni10Sm12,AM,meltspin,1
1932,Al80Ni5Sm15,AM,meltspin,1
1933,Al80Ni10Sm10,AM,meltspin,1
1934,Al80Ni15Sm5,AM,meltspin,1
1935,Al81Ni10Sm9,AM,meltspin,1
1936,Al83Ni8Sm9,AM,meltspin,1
1937,Al83Ni8Sm9,AM,meltspin,1
1938,Al83Ni10Sm7,AM,meltspin,1
1939,Al84Ni0Sm16,AM,meltspin,1
1940,Al85Ni5Sm10,AM,meltspin,1
1941,Al85Ni6Sm9,AM,meltspin,1
1942,Al85Ni8Sm7,AM,meltspin,1
1943,Al85Ni10Sm5,AM,meltspin,1
1944,Al86Ni0Sm14,AM,meltspin,1
1945,Al87Ni6Sm7,AM,meltspin,1
1946,Al87Ni8Sm5,AM,meltspin,1
1947,Al88Ni0Sm12,AM,meltspin,1
1948,Al89Ni1Sm10,AM,meltspin,1
1949,Al90Ni0Sm10,AM,meltspin,1
1950,Al90Ni5Sm5,AM,meltspin,1
1951,Al92Ni0Sm8,AM,meltspin,1
1952,Al75Ni5Sm20,AC,meltspin,0
1953,Al75Ni20Sm5,CR,meltspin,0
1954,Al82Ni0Sm18,CR,meltspin,0
1955,Al94Ni0Sm6,CR,meltspin,0
1956,Al25Ni20Sm55,AM,meltspin,1
1957,Al0Ni30Ti70,AM,meltspin,1
1958,Al0Ni33Ti67,AM,meltspin,1
1959,Al0Ni40Ti60,AM,meltspin,1
1960,Al10Ni30Ti60,AM,meltspin,1
1961,Al10Ni40Ti50,AM,meltspin,1
1962,Al20Ni20Ti60,AM,meltspin,1
1963,Al20Ni30Ti50,AM,meltspin,1
1964,Al20Ni40Ti40,AM,meltspin,1
1965,Al25Ni25Ti50,AM,meltspin,1
1966,Al25Ni35Ti40,AM,meltspin,1
1967,Al0Ni50Ti50,AC,meltspin,0
1968,Al0Ni55Ti45,AC,meltspin,0
1969,Al5Ni50Ti45,AC,meltspin,0
1970,Al10Ni45Ti45,AC,meltspin,0
1971,Al0Ni75Ti25,CR,meltspin,0
1972,Al10Ni70Ti20,CR,meltspin,0
1973,Al31Ni50Ti19,CR,meltspin,0
1974,Al40Ni50Ti10,CR,meltspin,0
1975,Al0Ni40Ti60,AM,meltspin,1
1976,Al10Ni36Ti54,AM,meltspin,1
1977,Al20Ni32Ti48,AM,meltspin,1
1978,Al30Ni28Ti42,AM,meltspin,1
1979,Al10Ni25Ti65,AM,meltspin,1
1980,Al10Ni25Ti65,AM,meltspin,1
1981,Al15Ni25Ti60,AM,meltspin,1
1982,Al94.1Ni0Ti5.9,CR,meltspin,0
1983,Al95.8Ni0.7Ti3.5,CR,meltspin,0
1984,Al97.1Ni0Ti2.9,CR,meltspin,0
1985,Al98.9Ni0Ti1.1,CR,meltspin,0
1986,Al50Ni30Y20,AM,meltspin,1
1987,Al55Ni25Y20,AM,meltspin,1
1988,Al60Ni20Y20,AM,meltspin,1
1989,Al60Ni25Y15,AM,meltspin,1
1990,Al65Ni20Y15,AM,meltspin,1
1991,Al70Ni20Y10,AM,meltspin,1
1992,Al75Ni10Y15,AM,meltspin,1
1993,Al80Ni10Y10,AM,meltspin,1
1994,Al80Ni15Y5,AM,meltspin,1
1995,Al82Ni5Y13,AM,meltspin,1
1996,Al82Ni8Y10,AM,meltspin,1
1997,Al85Ni0Y15,AM,meltspin,1
1998,Al85Ni5Y10,AM,meltspin,1
1999,Al85Ni10Y5,AM,meltspin,1
2000,Al86Ni0Y14,AM,meltspin,1
2001,Al87Ni0Y13,AM,meltspin,1
2002,Al87Ni3Y10,AM,meltspin,1
2003,Al87Ni5Y8,AM,meltspin,1
2004,Al87Ni10Y3,AM,meltspin,1
2005,Al88Ni0Y12,AM,meltspin,1
2006,Al89Ni0Y11,AM,meltspin,1
2007,Al90Ni0Y10,AM,meltspin,1
2008,Al90Ni5Y5,AM,meltspin,1
2009,Al91Ni0Y9,AM,meltspin,1
2010,Al92Ni0Y8,AM,meltspin,1
2011,Al80Ni5Y15,AC,meltspin,0
2012,Al90Ni5Y5,AC,meltspin,0
2013,Al70Ni10Y20,CR,meltspin,0
2014,Al86Ni0Y14,CR,meltspin,0
2015,Al90Ni10Y0,CR,meltspin,0
2016,Al92Ni0Y8,CR,meltspin,0
2017,Al60Ni20Y20,AM,meltspin,1
2018,Al65Ni20Y15,AM,meltspin,1
2019,Al70Ni15Y15,AM,meltspin,1
2020,Al75Ni10Y15,AM,meltspin,1
2021,Al75Ni15Y10,AM,meltspin,1
2022,Al78Ni15Y7,AM,meltspin,1
2023,Al80Ni10Y10,AM,meltspin,1
2024,Al80Ni15Y5,AM,meltspin,1
2025,Al85Ni5Y10,AM,meltspin,1
2026,Al85Ni10Y5,AM,meltspin,1
2027,Al87Ni5Y8,AM,meltspin,1
2028,Al88Ni0Y12,AM,meltspin,1
2029,Al88Ni10Y2,AM,meltspin,1
2030,Al90Ni0Y10,AM,meltspin,1
2031,Al90Ni5Y5,AM,meltspin,1
2032,Al65Ni15Y20,AC,meltspin,0
2033,Al80Ni5Y15,AC,meltspin,0
2034,Al70Ni10Y20,CR,meltspin,0
2035,Al70Ni20Y10,CR,meltspin,0
2036,Al75Ni5Y20,CR,meltspin,0
2037,Al75Ni20Y5,CR,meltspin,0
2038,Al86Ni0Y14,CR,meltspin,0
2039,Al92Ni0Y8,CR,meltspin,0
2040,Al87Ni5Y8,AM,meltspin,1
2041,Al88Ni9Y3,AM,meltspin,1
2042,Al25Ni20Y55,AM,meltspin,1
2043,Al85Ni5Y10,AM,meltspin,1
2044,Al85Ni10Y5,AM,meltspin,1
2045,Al60Ni30Zr10,AM,meltspin,1
2046,Al65Ni20Zr15,AM,meltspin,1
2047,Al70Ni20Zr10,AM,meltspin,1
2048,Al80Ni15Zr5,AM,meltspin,1
2049,Al82Ni13Zr5,AM,meltspin,1
2050,Al83Ni10Zr7,AM,meltspin,1
2051,Al84Ni10Zr6,AM,meltspin,1
2052,Al85Ni10Zr5,AM,meltspin,1
2053,Al86Ni9Zr5,AM,meltspin,1
2054,Al86Ni10Zr4,AM,meltspin,1
2055,Al87Ni10Zr3,AM,meltspin,1
2056,Al70Ni15Zr15,AC,meltspin,0
2057,Al70Ni25Zr5,AC,meltspin,0
2058,Al82Ni10Zr8,AC,meltspin,0
2059,Al83Ni15Zr2,AC,meltspin,0
2060,Al87.5Ni7.5Zr5,AC,meltspin,0
2061,Al88Ni10Zr2,AC,meltspin,0
2062,Al55Ni30Zr15,CR,meltspin,0
2063,Al60Ni20Zr20,CR,meltspin,0
2064,Al0Ni36Zr64,AM,meltspin,1
2065,Al5Ni34.2Zr60.8,AM,meltspin,1
2066,Al10Ni32.4Zr57.6,AM,meltspin,1
2067,Al15Ni30.6Zr54.4,AM,meltspin,1
2068,Al20Ni28.8Zr51.2,AM,meltspin,1
2069,Al25Ni27Zr48,AM,meltspin,1
2070,Al0Ni20Zr80,AM,meltspin,1
2071,Al0Ni30Zr70,AM,meltspin,1
2072,Al0Ni40Zr60,AM,meltspin,1
2073,Al0Ni50Zr50,AM,meltspin,1
2074,Al0Ni60Zr40,AM,meltspin,1
2075,Al0Ni65Zr35,AM,meltspin,1
2076,Al5Ni15Zr80,AM,meltspin,1
2077,Al5Ni20Zr75,AM,meltspin,1
2078,Al5Ni25Zr70,AM,meltspin,1
2079,Al5Ni30Zr65,AM,meltspin,1
2080,Al5Ni35Zr60,AM,meltspin,1
2081,Al5Ni40Zr55,AM,meltspin,1
2082,Al5Ni45Zr50,AM,meltspin,1
2083,Al5Ni50Zr45,AM,meltspin,1
2084,Al5Ni55Zr40,AM,meltspin,1
2085,Al5Ni60Zr35,AM,meltspin,1
2086,Al5Ni65Zr30,AM,meltspin,1
2087,Al10Ni10Zr80,AM,meltspin,1
2088,Al10Ni15Zr75,AM,meltspin,1
2089,Al10Ni20Zr70,AM,meltspin,1
2090,Al10Ni25Zr65,AM,meltspin,1
2091,Al10Ni30Zr60,AM,meltspin,1
2092,Al10Ni35Zr55,AM,meltspin,1
2093,Al10Ni40Zr50,AM,meltspin,1
2094,Al10Ni50Zr40,AM,meltspin,1
2095,Al10Ni55Zr35,AM,meltspin,1
2096,Al10Ni60Zr30,AM,meltspin,1
2097,Al15Ni5Zr80,AM,meltspin,1
2098,Al15Ni10Zr75,AM,meltspin,1
2099,Al15Ni15Zr70,AM,meltspin,1
2100,Al15Ni20Zr65,AM,meltspin,1
2101,Al15Ni25Zr60,AM,meltspin,1
2102,Al15Ni30Zr55,AM,meltspin,1
2103,Al15Ni35Zr50,AM,meltspin,1
2104,Al15Ni40Zr45,AM,meltspin,1
2105,Al15Ni45Zr40,AM,meltspin,1
2106,Al15Ni50Zr35,AM,meltspin,1
2107,Al15Ni55Zr30,AM,meltspin,1
2108,Al20Ni10Zr70,AM,meltspin,1
2109,Al20Ni15Zr65,AM,meltspin,1
2110,Al20Ni20Zr60,AM,meltspin,1
2111,Al20Ni25Zr55,AM,meltspin,1
2112,Al20Ni30Zr50,AM,meltspin,1
2113,Al20Ni35Zr45,AM,meltspin,1
2114,Al20Ni40Zr40,AM,meltspin,1
2115,Al20Ni45Zr35,AM,meltspin,1
2116,Al20Ni50Zr30,AM,meltspin,1
2117,Al25Ni5Zr70,AM,meltspin,1
2118,Al25Ni10Zr65,AM,meltspin,1
2119,Al25Ni15Zr60,AM,meltspin,1
2120,Al25Ni20Zr55,AM,meltspin,1
2121,Al25Ni25Zr50,AM,meltspin,1
2122,Al25Ni30Zr45,AM,meltspin,1
2123,Al25Ni35Zr40,AM,meltspin,1
2124,Al25Ni40Zr35,AM,meltspin,1
2125,Al25Ni45Zr30,AM,meltspin,1
2126,Al30Ni15Zr55,AM,meltspin,1
2127,Al30Ni20Zr50,AM,meltspin,1
2128,Al30Ni25Zr45,AM,meltspin,1
2129,Al30Ni30Zr40,AM,meltspin,1
2130,Al30Ni35Zr35,AM,meltspin,1
2131,Al30Ni40Zr30,AM,meltspin,1
2132,Al35Ni20Zr45,AM,meltspin,1
2133,Al35Ni35Zr30,AM,meltspin,1
2134,Al45Ni10Zr45,AM,meltspin,1
2135,Al60Ni20Zr20,AM,meltspin,1
2136,Al65Ni20Zr15,AM,meltspin,1
2137,Al70Ni20Zr10,AM,meltspin,1
2138,Al5Ni85Zr10,AC,meltspin,0
2139,Al70Ni15Zr15,AC,meltspin,0
2140,Al70Ni25Zr5,AC,meltspin,0
2141,Al5Ni10Zr85,CR,meltspin,0
2142,Al10Ni5Zr85,CR,meltspin,0
2143,Al10Ni70Zr20,CR,meltspin,0
2144,Al10Ni80Zr10,CR,meltspin,0
2145,Al20Ni0Zr80,CR,meltspin,0
2146,Al20Ni60Zr20,CR,meltspin,0
2147,Al20Ni70Zr10,CR,meltspin,0
2148,Al25Ni0Zr75,CR,meltspin,0
2149,Al30Ni0Zr70,CR,meltspin,0
2150,Al30Ni10Zr60,CR,meltspin,0
2151,Al30Ni50Zr20,CR,meltspin,0
2152,Al30Ni60Zr10,CR,meltspin,0
2153,Al35Ni5Zr60,CR,meltspin,0
2154,Al40Ni10Zr50,CR,meltspin,0
2155,Al40Ni20Zr40,CR,meltspin,0
2156,Al40Ni30Zr30,CR,meltspin,0
2157,Al40Ni40Zr20,CR,meltspin,0
2158,Al40Ni50Zr10,CR,meltspin,0
2159,Al50Ni10Zr40,CR,meltspin,0
2160,Al50Ni20Zr30,CR,meltspin,0
2161,Al50Ni30Zr20,CR,meltspin,0
2162,Al50Ni40Zr10,CR,meltspin,0
2163,Al60Ni10Zr30,CR,meltspin,0
2164,Al60Ni20Zr20,CR,meltspin,0
2165,Al70Ni10Zr20,CR,meltspin,0
2166,Al70Ni30Zr0,CR,meltspin,0
2167,Al80Ni10Zr10,CR,meltspin,0
2168,Al80Ni20Zr0,CR,meltspin,0
2169,Al90Ni5Zr5,CR,meltspin,0
2170,Al90Ni10Zr0,CR,meltspin,0
2171,Al0Ni36Zr64,AM,meltspin,1
2172,Al5Ni34.2Zr60.8,AM,meltspin,1
2173,Al10Ni32.4Zr57.6,AM,meltspin,1
2174,Al0Ni18Zr82,AM,meltspin,1
2175,Al0Ni20Zr80,AM,meltspin,1
2176,Al0Ni68Zr32,AM,meltspin,1
2177,Al1Ni16Zr83,AM,meltspin,1
2178,Al2Ni14Zr84,AM,meltspin,1
2179,Al2Ni66Zr32,AM,meltspin,1
2180,Al4Ni12Zr84,AM,meltspin,1
2181,Al5Ni10Zr85,AM,meltspin,1
2182,Al6Ni64Zr30,AM,meltspin,1
2183,Al8Ni8Zr84,AM,meltspin,1
2184,Al9Ni62Zr29,AM,meltspin,1
2185,Al11Ni6Zr83,AM,meltspin,1
2186,Al11Ni60Zr29,AM,meltspin,1
2187,Al13Ni58Zr29,AM,meltspin,1
2188,Al14Ni4Zr82,AM,meltspin,1
2189,Al16Ni56Zr28,AM,meltspin,1
2190,Al18Ni2Zr80,AM,meltspin,1
2191,Al18Ni54Zr28,AM,meltspin,1
2192,Al20Ni2Zr78,AM,meltspin,1
2193,Al20Ni52Zr28,AM,meltspin,1
2194,Al22Ni2Zr76,AM,meltspin,1
2195,Al22Ni50Zr28,AM,meltspin,1
2196,Al24Ni2Zr74,AM,meltspin,1
2197,Al24Ni48Zr28,AM,meltspin,1
2198,Al26Ni4Zr70,AM,meltspin,1
2199,Al26Ni8Zr66,AM,meltspin,1
2200,Al26Ni46Zr28,AM,meltspin,1
2201,Al27Ni6Zr67,AM,meltspin,1
2202,Al27Ni10Zr63,AM,meltspin,1
2203,Al28Ni12Zr60,AM,meltspin,1
2204,Al28Ni44Zr28,AM,meltspin,1
2205,Al30Ni14Zr56,AM,meltspin,1
2206,Al30Ni42Zr28,AM,meltspin,1
2207,Al32Ni16Zr52,AM,meltspin,1
2208,Al32Ni20Zr48,AM,meltspin,1
2209,Al32Ni40Zr28,AM,meltspin,1
2210,Al33Ni22Zr45,AM,meltspin,1
2211,Al33Ni38Zr29,AM,meltspin,1
2212,Al34Ni20Zr46,AM,meltspin,1
2213,Al34Ni24Zr42,AM,meltspin,1
2214,Al34Ni34Zr32,AM,meltspin,1
2215,Al34Ni36Zr30,AM,meltspin,1
2216,Al35Ni26Zr39,AM,meltspin,1
2217,Al35Ni32Zr33,AM,meltspin,1
2218,Al36Ni28Zr36,AM,meltspin,1
2219,Al36Ni30Zr34,AM,meltspin,1
2220,Al57Ni26Zr17,AM,meltspin,1
2221,Al57Ni28Zr15,AM,meltspin,1
2222,Al57Ni30Zr13,AM,meltspin,1
2223,Al57Ni32Zr11,AM,meltspin,1
2224,Al58Ni32Zr10,AM,meltspin,1
2225,Al59Ni24Zr17,AM,meltspin,1
2226,Al59Ni32Zr9,AM,meltspin,1
2227,Al60Ni22Zr18,AM,meltspin,1
2228,Al62Ni20Zr18,AM,meltspin,1
2229,Al62Ni30Zr8,AM,meltspin,1
2230,Al64Ni28Zr8,AM,meltspin,1
2231,Al65Ni18Zr17,AM,meltspin,1
2232,Al66Ni26Zr8,AM,meltspin,1
2233,Al68Ni24Zr8,AM,meltspin,1
2234,Al70Ni16Zr14,AM,meltspin,1
2235,Al70Ni22Zr8,AM,meltspin,1
2236,Al73Ni20Zr7,AM,meltspin,1
2237,Al74Ni14Zr12,AM,meltspin,1
2238,Al76Ni18Zr6,AM,meltspin,1
2239,Al78Ni12Zr10,AM,meltspin,1
2240,Al79Ni16Zr5,AM,meltspin,1
2241,Al81Ni10Zr9,AM,meltspin,1
2242,Al82Ni14Zr4,AM,meltspin,1
2243,Al84Ni8Zr8,AM,meltspin,1
2244,Al86Ni12Zr2,AM,meltspin,1
2245,Al88Ni7Zr5,AM,meltspin,1
2246,Al88Ni10Zr2,AM,meltspin,1
2247,Al89Ni9Zr2,AM,meltspin,1
2248,Al20Ni25Zr55,AM,meltspin,1
2249,Al10Ni25Zr65,AM,meltspin,1
2250,Al0Ni90Zr10,AM,meltspin,1
2251,Al2Ni88Zr10,AM,meltspin,1
2252,Al5Ni85Zr10,AM,meltspin,1
2253,Al0Ni90Zr10,AC,meltspin,0
2254,Al5Ni85Zr10,CR,meltspin,0
2255,Al10Ni80Zr10,CR,meltspin,0
2256,Al15Ni75Zr10,CR,meltspin,0
2257,Al15Ni25Zr60,AM,meltspin,1
2258,Al0Si13Zr87,AM,meltspin,1
2259,Al0Si15Zr85,AM,meltspin,1
2260,Al0Si17Zr83,AM,meltspin,1
2261,Al8Si7Zr85,AM,meltspin,1
2262,Au22.5B10Er67.5,AM,meltspin,1
2263,Au22.5B10Gd67.5,AM,meltspin,1
2264,Au25B0Gd75,AM,meltspin,1
2265,Au18B10Pr72,AM,meltspin,1
2266,Au22.5B10Pr67.5,AM,meltspin,1
2267,Al22.5B10Tb67.5,AM,meltspin,1
2268,Al25B0Tb75,AM,meltspin,1
2269,Au22.75Cu68.25La9,AM,meltspin,1
2270,Au44.5Cu44.5La11,AM,meltspin,1
2271,Au45Cu45La10,AM,meltspin,1
2272,Au45.5Cu45.5La9,AM,meltspin,1
2273,Au54.6Cu36.4La9,AM,meltspin,1
2274,Au0Cu30Mg70,AM,meltspin,1
2275,Au1Cu29Mg70,AM,meltspin,1
2276,Au3Cu27Mg70,AM,meltspin,1
2277,Au9Cu21Mg70,AM,meltspin,1
2278,Au76.89Ge13.66Si9.45,AM,meltspin,1
2279,Au77Ge14Si9,AM,meltspin,1
2280,Au53.2Pb27.5Sb19.3,AM,meltspin,1
2281,Au55Pb22.5Sb22.5,AM,meltspin,1
2282,Au0Pd79Si21,AM,meltspin,1
2283,Au0Pd80Si20,AM,meltspin,1
2284,Au0Pd82Si18,AM,meltspin,1
2285,Au0Pd84Si16,AM,meltspin,1
