,likely_mpid,expt_gap,formula
693,,3.14,Cd8B5O15F
694,mp-2642,0.0,CdAg
695,,2.49,CdAg2(PS3)2
696,mp-1197203,2.32,CdAg2GeS4
697,mp-1025294,0.0,CdAsPd5
698,,0.0,CdAuO2
699,mp-550553,3.08,CdBiClO2
700,mp-27934,4.47,CdBr2
701,mp-22881,5.7,CdCl2
702,mp-1195655,3.33,CdCu(SeO3)2
703,mp-13982,2.05,CdCu2GeS4
704,mp-10967,1.2,CdCu2GeSe4
705,mp-1078292,1.37,CdCu2SnS4
706,mp-16565,0.96,CdCu2SnSe4
707,mp-241,6.0,CdF2
708,,4.35,CdHIO4
709,mp-570838,1.45,CdHg4(AsI2)2
710,mp-567910,1.89,CdHg6(As2Br3)2
711,mp-571579,3.8,CdI2
712,mp-1191962,4.3,CdIClO3
713,,0.6,CdIn
714,,1.02,CdIn8Te13
715,,1.66,CdInCuSe3
716,mp-1132,2.3,CdO
717,,4.85,CdP4PbO12
718,mp-1696,0.0,CdPd
719,mp-1194,0.0,CdPt
720,mp-15638,0.0,CdRhF6
721,mp-567556,1.4,CdSb2Se3Br2
722,,3.4,CdSb4MoO10
723,mp-754329,3.0,CdSnO3
724,mp-3286,0.0,Ce(AlZn)2
725,mp-20908,0.0,Ce(BC)2
726,mp-568182,0.0,Ce(CoAs)2
727,mp-22165,0.0,Ce(CoB)4
728,mp-1006321,0.0,Ce(CuSb)2
729,,0.0,Ce(HO)3
730,,1.11,Ce(InS2)3
731,mp-21089,0.0,Ce(MnGe)2
732,mp-2965,0.0,Ce(MnSi)2
733,mp-607725,0.0,Ce(PPt2)2
734,mp-5173,0.0,Ce(SiAu)2
735,mp-4537,0.0,Ce(SiNi)2
736,mp-3826,0.0,Ce(SiPd)2
737,,1.25,Ce1.3Lu0.7S3
738,mp-1198305,1.93,Ce10Se14O
739,mp-28370,3.5,Ce15B8N25
740,,2.01,Ce1Mn0.5Se1O1
741,mp-18287,0.0,Ce2(SbPd3)3
742,,0.3,Ce2(SnSe3)3
743,mp-16484,0.0,Ce2Al2Co15
744,mp-574273,0.0,Ce2Co5B2
745,mp-9277,0.0,Ce2CrN3
746,,0.0,Ce2Cu(NO)2
747,mp-1078159,0.64,Ce2Fe(SeO)2
748,mp-654,0.0,Ce2Fe17
749,,1.1,Ce2Ge2Se7
750,,1.7,Ce2GeSe5
751,,0.0,Ce2S2O
752,mp-20973,1.12,Ce2S3
753,mp-22678,0.0,Ce2Sb
754,,1.75,Ce2Se3
755,mp-542664,0.0,Ce2SiSeO4
756,,0.0,Ce2Ti2O7
757,mp-574021,0.0,Ce2ZnNi2
758,mp-31079,0.0,Ce3(Al3Ru)4
759,mp-21393,0.0,Ce3Al
760,mp-10036,0.0,Ce3AlC
761,mp-680695,0.0,Ce3B2(ClO2)3
762,mp-606102,0.0,Ce3In3Ru2
763,mp-645694,1.1,Ce3LuSe6
764,mp-866500,0.0,Ce3MnAlS7
765,mp-639904,2.0,Ce3MoO7
766,mp-683997,0.0,Ce3NbS3O4
767,,0.0,Ce3Pd5
768,mp-569913,0.0,Ce3SiPt5
769,mp-558609,0.0,Ce3Ta(ClO2)3
770,,0.0,Ce3TaO7
771,mp-606703,2.3,Ce4(GeS4)3
772,mp-23252,0.0,Ce4Bi3
773,mp-579188,0.0,Ce4FeSe6O
774,,1.69,Ce4InSbSe9
775,mp-1006390,0.0,Ce4Si3Rh4
776,,0.5,Ce4Te7
777,mp-571312,0.0,Ce5(SiN3)3
778,,0.0,Ce5CuSe8
779,mp-510493,0.0,Ce5Ge3
780,mp-570175,0.0,Ce5Si3
781,mp-570060,0.0,Ce6B2(CBr)3
782,,1.99,Ce8Sb2S15
783,,0.0,Ce8U2O21
784,,0.0,Ce9SmO20
785,mp-31420,0.0,CeAgSn
786,,0.0,CeAl2Pd5
787,mp-7225,0.0,CeAl2Pt3
788,mp-20338,0.0,CeAl3Ni2
789,mp-19843,0.0,CeAlO3
790,mp-9400,0.0,CeAlSi2
791,mp-8948,0.0,CeAsPd
792,mp-607004,0.0,CeAsSe
793,mp-11593,0.0,CeB2Ir3
794,mp-639306,0.0,CeBC
795,mp-1204806,2.34,CeBiW2O9
796,mp-31173,0.0,CeCd2Ag
797,,0.0,CeCdAu2
798,mp-644499,0.0,CeCoGeH
799,mp-510560,4.85,CeF3
800,,0.0,CeGaO3
801,mp-24011,0.0,CeHSe
802,mp-702,0.0,CeHg
803,mp-20449,0.0,CeInIr
804,mp-30507,0.0,CeIr5
805,,0.0,CeLu3
806,mp-31175,0.0,CeMg2Ag
807,,0.0,CeMgAg2
808,mp-13435,0.0,CeMgNi4
809,mp-19934,0.0,CeMgPt
810,mp-13254,0.0,CeMgZn2
811,mp-1192442,2.52,CeMoO4F
812,mp-2493,0.7,CeN
813,mp-7550,0.0,CeNbO4
814,mp-20194,3.41,CeO2
815,mp-1102302,0.0,CeOs2
816,mp-22217,0.0,CePd5
817,,0.0,CePrO2
818,mp-1018117,0.0,CeRh
819,mp-680698,0.0,CeSI
820,,0.0,CeSbO3
821,mp-777413,3.2,CeScO3
822,mp-15653,0.0,CeSi2Ni
823,mp-3284,0.0,CeSi2Pt
824,mp-29535,0.0,CeSiI
825,mp-21441,0.0,CeSiIr
826,mp-505005,0.0,CeSiOs
827,,1.9,CeTaN2O
828,mp-638100,2.4,CeTl2P2S7
829,mp-20603,0.0,CeTl3
830,mp-1018669,0.0,CeTlZn
831,mp-13207,0.0,CeZnPO
832,,0.0,Co(PO3)4
833,,0.0,Co(WO4)2
834,,0.2,Co1Te1.88
835,mp-10055,0.0,Co2B4Mo
836,mp-1102616,0.0,Co2Ge
837,,0.0,Co2O3
838,mp-18855,3.6,Co2Te3O8
839,,0.0,Co3H
840,mp-20456,0.0,Co3Se4
841,mp-2157,0.0,Co3W
842,,0.0,Co5Ge7
843,,0.0,Co5RuO8
844,mp-567747,0.0,Co7Mo6
845,,0.0,Co7Re17O48
846,mp-452,0.4,CoAs3
847,mp-22546,0.0,CoAsRh
848,mp-553946,0.6,CoAsS
849,mp-505511,0.2,CoAsSe
850,,0.0,CoCu2Sn
851,mp-21237,0.0,CoGe
852,,0.0,CoH2(SN)4
853,mp-1025557,0.0,CoMoP2
854,mp-448,0.0,CoN
855,,0.0,CoOF
856,mp-14285,0.35,CoP2
857,mp-1944,0.45,CoP3
858,,0.4,CoPS
859,mp-755,0.17,CoSb2
860,mp-1317,0.49,CoSb3
861,mp-568349,0.0,Cr(FeSe2)2
862,mp-542188,0.0,Cr(MoS2)2
863,,0.0,Cr10Sb3Te7
864,mp-22803,0.0,Cr2CuS4
865,mp-22625,0.0,Cr2CuTe4
866,mp-19821,0.0,Cr2GeC
867,,0.0,Cr2HO4
868,mp-5602,0.0,Cr2HgSe4
869,mp-27512,0.0,Cr2NiS4
870,mp-19399,3.4,Cr2O3
871,,0.0,Cr2P3O11
872,,0.0,Cr2SbTe
873,,0.0,Cr3N2
874,,0.0,Cr3Ni(PO4)6
875,mp-7806,0.0,Cr3P
876,mp-27840,1.59,Cr3Se4
877,,0.0,Cr4As3
878,,0.0,Cr4Cu3Te8
879,mp-1196316,0.0,Cr7C3
880,mp-20717,0.0,CrAs
881,mp-1197022,1.8,CrB2(PbO2)6
882,,2.4,CrBi2I2O11
883,,0.0,CrCo2Bi
884,mp-10394,0.0,CrCoGe
885,mp-570863,0.0,CrCoPt2
886,,0.0,CrCu2Si
887,,0.0,CrFe2Sb
888,mp-21495,0.0,CrFeP
889,mp-504919,0.0,CrH9(CN2)3
890,,0.0,CrIrO4
891,,0.0,CrIrO6
892,,0.0,CrNi3
893,mp-4989,0.0,CrNiAs
894,,0.0,CrNiP2O9
895,mp-19177,0.23,CrO2
896,mp-510421,1.4,CrO3
897,mp-19146,2.25,CrPbO4
898,mp-22498,0.14,CrSb2
899,mp-11191,1.3,CrSi2
900,,0.17,CrTe2
901,mp-570837,0.0,Cs(AsRu)2
902,mp-17022,0.0,Cs(MoO3)3
903,,2.1,Cs0.4K0.6P1Se6
904,,1.0,Cs1.13Cd1.13Bi2.87Se6
905,,1.28,Cs1.43Cd1.43Bi2.57S6
906,,3.16,Cs10Cd4Sn4S17
907,mp-1078250,2.19,Cs2AgBiBr6
908,mp-1078258,2.77,Cs2AgBiCl6
909,mp-1019602,4.13,Cs2Al2B2O7
910,mp-1019605,6.31,Cs2Ba3(P2O7)2
911,,2.63,Cs2Cd(PSe3)2
912,,1.66,Cs2Cd0.25Hg5.75S7
913,,1.84,Cs2Cd1.35Hg4.65S7
914,,1.7,Cs2Cd2Bi2S5
915,mp-1201213,4.76,Cs2Cd3(B4O7)4
916,mp-567386,2.48,Cs2Cd3Te4
917,mp-28497,0.0,Cs2CrCl4
918,,2.4,Cs2Cu(PS3)3
919,mp-1190579,1.6,Cs2Cu2Sb2S5
920,,1.38,Cs2DyCu3Te4
921,,3.26,Cs2Ga2S5
922,,1.95,Cs2Ga2Se5
923,,2.15,Cs2Hg(ICl)2
924,mp-540574,2.56,Cs2Hg3I8
925,mp-1105419,2.8,Cs2Hg3S4
926,mp-17905,1.63,Cs2Hg6S7
927,,1.0,Cs2La1.19Bi8.81S16
928,mp-966802,7.3,Cs2Li3(BO2)5
929,mp-1195667,2.04,Cs2MgGe3Se8
930,mp-1195633,1.92,Cs2MgSn3Se8
931,,0.0,Cs2Mo15S19
932,mp-558211,0.0,Cs2NaCoF6
933,,0.0,Cs2NaMgF6
934,mp-554858,0.0,Cs2NaMnF6
935,mp-15223,2.19,Cs2NbCuSe4
936,,1.6,Cs2P2PdSe6
937,mp-31285,1.5,Cs2PdSe8
938,,2.4,Cs2Pt(IO3)6
939,,0.0,Cs2SCl6F
940,mp-1191118,0.62,Cs2Sb
941,,0.0,Cs2SeClF6
942,,6.53,Cs2SiB4O9
943,,2.06,Cs2Sn(PSe3)2
944,mp-1195304,2.34,Cs2Sn3(SbS5)2
945,mp-573763,3.5,Cs2Te
946,mp-23405,2.12,Cs2TeBr6
947,mp-540957,1.5,Cs2TeI6
948,mp-640389,2.8,Cs2Th(PS3)3
949,mp-10488,2.44,Cs2Ti(AgS2)2
950,mp-8684,1.77,Cs2VAgS4
951,,4.3,Cs2Zn3(SeO3)4
952,,3.33,Cs2ZnGe3S8
953,mp-1194749,2.31,Cs2ZnGe3Se8
954,,1.07,Cs2ZnGe3Te8
955,mp-1194701,2.12,Cs2ZnSn3Se8
956,,2.74,Cs39Ga53(Se16Cl)6
957,mp-542220,0.6,Cs3As
958,mp-27544,2.5,Cs3Bi2Br9
959,mp-669458,1.8,Cs3Bi2I9
960,mp-1019615,6.53,Cs3Li4(BO2)7
961,,0.3,Cs3NaZn2Ge21
962,mp-683903,1.35,Cs3Nb2AsSe11
963,mp-1201443,3.22,Cs3Nb9(TeO8)4
964,,3.27,Cs3PW3O13
965,mp-10378,1.6,Cs3Sb
966,mp-579560,2.3,Cs3Sb2Br9
967,mp-23029,1.89,Cs3Sb2I9
968,,2.96,Cs3Sn3Cl7F2
969,mp-541084,0.0,Cs3V2Cl9
970,,2.0,Cs4Ag9(SbS3)4
971,mp-1204289,1.02,Cs4BiAs3Se7
972,,1.14,Cs4Ga4Si19
973,mp-1195417,2.0,Cs4Ge(PSe3)4
974,mp-1202502,1.95,Cs4Ge5(PbS4)4
975,,2.2,Cs4In8GeSe16
976,mp-680246,2.35,Cs4Zr3S14
977,,1.85,Cs5Bi(PSe3)4
978,mp-581739,0.0,Cs5Mo21Se23
979,,2.17,Cs5P5Se12
980,,0.22,Cs6.4Na1.6Ga8Ge38
981,mp-866615,2.7,CsAg2AsS3
982,,2.04,CsAg2TeS6
983,mp-9206,0.65,CsAg5Te3
984,mp-28610,0.0,CsAgCl3
985,mp-554408,2.04,CsAgSb4S7
986,mp-2667,2.3,CsAu
987,mp-3977,7.42,CsB3O5
988,mp-23163,0.55,CsBi2
989,mp-567928,0.43,CsBi3Se5
990,mp-541378,1.39,CsBiS2
991,,1.07,CsBiSe2
992,,0.0,CsCaO3
993,,3.09,CsCd4Ga5S12
994,,2.21,CsCd4Ga5Se12
995,,1.67,CsCd4Ga5Te12
996,,1.62,CsCd4In5Se12
997,,1.42,CsCd4In5Te12
998,mp-1191636,2.58,CsCdBO3
999,,2.4,CsCdInSe3
1000,mp-574426,2.4,CsCeCdSe3
1001,mp-574472,1.94,CsCeHgSe3
1002,,1.7,CsCu(SbS2)2
1003,mp-1196438,2.3,CsCu2AsS3
1004,,1.63,CsCu2SbS3
1005,,1.99,CsDy9(Cd2Se9)2
1006,,2.09,CsEr9(Cd2Se9)2
1007,mp-7155,2.56,CsErZnSe3
1008,mp-8396,0.0,CsEuF3
1009,mp-1784,10.0,CsF
1010,,1.87,CsGa(SnSe3)2
1011,mp-30574,0.0,CsGa7
1012,mp-562726,3.0,CsGaS3
1013,,1.97,CsGaSnSe4
1014,,0.0,CsGdO3
1015,mp-1104469,2.13,CsGdZnTe3
1016,,4.89,CsGe5BO12
1017,mp-558804,5.76,CsGeB3O7
1018,mp-28377,1.6,CsGeI3
1019,,4.77,CsH3(SeO3)2
1020,,2.06,CsHo9(Cd2Se9)2
1021,,1.78,CsIn(SnSe3)2
1022,,2.32,CsInGeSe4
1023,mp-1194853,2.3,CsInHgS3
1024,,0.0,CsInI3
1025,mp-559459,3.4,CsInS2
1026,mp-1200720,2.81,CsInSe2
1027,,2.9,CsInSnS4
1028,mp-1199743,2.16,CsInTe2
1029,mp-1192413,3.9,CsInTe3O8
1030,,0.0,CsIr
1031,,0.0,CsIrO3
1032,,2.36,CsK(PSe4)2
1033,mp-11124,2.46,CsLaHgSe3
1034,mp-1019715,6.89,CsLi(B3O5)2
1035,,6.19,CsLiCO3
1036,mp-1202825,1.86,CsLu7S11
1037,mp-1203743,1.78,CsLu7Se11
1038,,0.0,CsMg149
1039,,1.55,CsMn4Ga5Te12
1040,,1.79,CsMn4In5Se12
1041,,1.48,CsMn4In5Te12
1042,mp-510378,0.0,CsMnSb
1043,,0.8,CsNa2Sb
1044,,4.67,CsNa8(B7O12)3
1045,mp-570455,0.0,CsNb6I11
1046,,4.2,CsNbSe2O7
1047,mp-1181552,0.0,CsNi2F6
1048,mp-1192530,4.39,CsPPbO4
1049,,2.44,CsPSe4
1050,mp-1194666,1.9,CsPSe6
1051,,2.41,CsRb(PSe4)2
1052,,1.5,CsRb2Sb
1053,,0.0,CsRbP
1054,mp-1195448,4.68,CsSb(SO4)2
1055,mp-561639,2.8,CsSbS2
1056,mp-2969,1.7,CsSbSe2
1057,,0.43,CsSbTe2
1058,mp-1194629,5.2,CsSc(SeO3)2
1059,,0.0,CsScBr3
1060,mp-510062,2.45,CsSmCdSe3
1061,mp-7212,2.37,CsSmHgSe3
1062,,0.0,CsSn3
1063,,3.88,CsTa3(SeO6)2
1064,,2.29,CsTaPSe6
1065,,1.95,CsTb9(Cd2Se9)2
1066,mp-638078,2.12,CsTbZnTe3
1067,mp-28283,0.0,CsTiCl3
1068,mp-504701,0.0,CsTiF4
1069,,2.16,CsTm9(Cd2Se9)2
1070,mp-13348,0.0,CsUCuS3
1071,mp-12324,0.0,CsVP2S7
1072,mp-30974,0.0,CsWCl6
1073,mp-11116,2.54,CsYCdSe3
1074,mp-11123,2.54,CsYHgSe3
1075,,3.4,CsYTe3O8
1076,mp-542948,0.95,CsYbCoSe3
1077,,1.59,CsYbMnSe3
1078,mp-1195000,5.69,CsZn2B3O7
1079,,1.61,CsZn4In5Se12
1080,,1.61,CsZn4In5Te12
1081,,2.0,CsZrPSe6
1082,mp-15065,0.0,Cu(IrS2)2
1083,mp-640926,0.0,Cu(NO3)2
1084,,1.48,Cu0.5Ge1Pb1.75S4
1085,,0.68,Cu0.96Bi2Se3I1
1086,mp-542333,2.3,Cu1.8S1
1087,mp-2004,0.0,Cu10Sb3
1088,,0.0,Cu11Sb4S13
1089,mp-14266,0.0,Cu15Si4
1090,,0.0,Cu18S11
1091,,0.0,Cu23(Sb4S13)2
1092,,0.0,Cu25Se26
1093,mp-1072589,0.53,Cu2GeS3
1094,mp-1181662,0.0,Cu2H3ClO3
1095,mp-6820,0.0,Cu2Hg2SF6
1096,mp-12855,0.0,Cu2HgGeSe4
1097,mp-361,2.58,Cu2O
1098,,0.0,Cu2OF2
1099,mp-510654,0.0,Cu2PHO5
1100,mp-1825,0.0,Cu2Sb
1101,mp-17598,2.64,Cu2Te3O8
1102,,1.65,Cu2WSe4
1103,,0.0,Cu3(BiI4)4
1104,mp-1190666,0.0,Cu3(P2O7)2
1105,,0.72,Cu3Bi6S10I
1106,mp-1194777,2.56,Cu3Hg2(Te3O8)2
1107,mp-580357,0.0,Cu3Pd
1108,mp-9814,0.31,Cu3SbSe4
1109,mp-557136,0.0,Cu3Se2(ClO3)2
1110,mp-21770,0.0,Cu4As2O9
1111,mp-707201,0.0,Cu4H10SO12
1112,mp-30594,0.0,Cu4Pd
1113,,0.8,Cu4Sn7S16
1114,,0.0,Cu4W(SCl)4
1115,mp-1200185,0.0,Cu5(Si2O7)2
1116,,0.0,Cu6PbO8
1117,mp-1192989,0.0,Cu7Hg6
1118,mp-704745,0.0,Cu8O
1119,,0.0,Cu9O13
1120,mp-542333,0.0,Cu9S5
1121,mp-558647,0.0,Cu9Se4(Cl3O7)2
1122,mp-12954,3.61,CuBS2
1123,mp-569715,1.2,CuBi(PSe3)2
1124,mp-624191,0.12,CuBiPbS3
1125,,0.07,CuBiPbSe3
1126,,1.07,CuBiSO
1127,mp-23116,0.82,CuBiSeO
1128,mp-3421,0.0,CuCN2
1129,,0.0,CuClO2
1130,,0.0,CuF
1131,mp-1194904,3.25,CuHg(SeO3)2
1132,mp-619545,0.0,CuMoO4
1133,,4.17,CuN3
1134,,2.7,CuNi(CN)4
1135,,0.0,CuP2(HO3)2
1136,,0.0,CuPO4F
1137,mp-1105187,2.2,CuPS3
1138,mp-1018029,0.0,CuPd
1139,,0.0,CuPtO2
1140,mp-649774,1.31,CuSbPbS3
1141,mp-4468,1.38,CuSbS2
1142,mp-20331,1.05,CuSbSe2
1143,mp-560049,0.0,CuSeO3
1144,mp-984726,0.0,Dy(Al2Cu)4
1145,mp-19771,0.0,Dy(CoGe)2
1146,,0.2,Dy(CuSe)3
1147,mp-2917,0.0,Dy(CuSi)2
1148,,0.34,Dy(CuTe)3
1149,mp-21082,0.0,Dy(GeRu)2
1150,,1.22,Dy(InS2)3
1151,mp-567858,0.0,Dy12C6I17
1152,mp-573622,0.0,Dy12Co7
1153,,0.6,Dy1Te1.4
1154,,0.6,Dy1Te1.45
1155,,0.35,Dy1Te1.7
1156,mp-641314,0.0,Dy2(GePt3)3
1157,,1.92,Dy2(MoO4)3
1158,mp-13431,0.0,Dy2AlCo2
1159,mp-12574,0.0,Dy2C
1160,mp-12977,0.0,Dy2CdPd2
1161,,0.0,Dy2CuOs
1162,,0.0,Dy2MgIn
1163,,0.0,Dy2MgTl
1164,mp-864836,0.0,Dy2Ni12P7
1165,mp-2345,5.0,Dy2O3
1166,mp-1270,2.91,Dy2S3
1167,mp-568064,0.0,Dy2Sn5
1168,mp-1188427,0.69,Dy2Te3
1169,mp-19950,0.0,Dy2Ti3Si4
1170,,0.0,Dy2TlCd
1171,,0.0,Dy2ZnIn
1172,mp-22039,0.0,Dy3(CuGe)4
1173,,2.22,Dy3Al0.5Si1S7
1174,,0.0,Dy3Ga
1175,mp-1189242,2.81,Dy3GaS6
1176,mp-19881,0.0,Dy3InC
1177,mp-14356,0.0,Dy3MnB7
1178,mp-570768,0.0,Dy4CdRh
1179,mp-1196712,2.58,Dy4GaSbS9
1180,mp-1927,0.0,Dy4Sb3
1181,mp-1095296,1.43,Dy4Te3S4
1182,mp-569760,0.0,Dy5Pb3
1183,mp-30623,0.0,Dy5Sn3
1184,mp-10516,0.0,Dy6FeTe2
1185,mp-641778,0.0,Dy7In(CoGe3)4
1186,mp-2167,0.0,DyAg
1187,mp-567574,0.0,DyAgGe
1188,,0.0,DyAgHg2
1189,mp-2627,1.0,DyAs
1190,mp-571041,0.0,DyB2Rh2C
1191,mp-568319,3.3,DyB6
1192,mp-10060,0.0,DyBPd3
1193,mp-1009543,0.0,DyBiPd
1194,mp-30453,0.0,DyBiPt
1195,mp-11294,0.0,DyCd2
1196,mp-8742,0.0,DyCoSi2
1197,mp-22698,0.0,DyFeSi
1198,mp-20122,0.0,DyGe
1199,mp-22177,0.0,DyInAu
1200,mp-22680,0.0,DyInCu2
1201,mp-1078790,0.0,DyInPt2
1202,mp-1358,0.0,DyIr2
1203,mp-1102404,0.0,DyMn2
1204,mp-638084,0.0,DyNiGe2
1205,mp-510152,0.0,DyNiSn
1206,mp-5767,6.38,DyPO4
1207,mp-232,0.0,DyRh
1208,mp-1018675,0.0,DyS2
1209,mp-20281,0.0,DySiIr
1210,mp-570860,0.0,DySn3
1211,,0.0,DySnRu2
1212,,0.0,DyYAg2
1213,mp-1018682,0.0,DyZnGa
1214,,0.0,DyZnRh2
1215,,0.0,DyZrRu2
1216,mp-5068,0.0,DyZrSb
1217,mp-680636,0.0,Er(Al10Cr)2
1218,mp-12082,0.0,Er(CrSi)2
1219,mp-5083,0.0,Er(CuGe)2
1220,mp-640885,0.24,Er(CuTe)3
1221,,1.28,Er(InS2)3
1222,,0.0,Er(ReO4)2
1223,mp-3218,0.0,Er(SiPd)2
1224,mp-866685,0.0,Er2(Ga3Co)3
1225,,0.96,Er2(MoO4)3
1226,mp-9544,0.0,Er2C3
1227,mp-3680,0.0,Er2Fe14B
1228,mp-1018684,0.0,Er2Mg3Ru
1229,mp-9267,0.0,Er2MnC4
1230,mp-679,5.42,Er2O3
1231,mp-209,1.66,Er2Se3
1232,mp-31143,0.0,Er2SnAu2
1233,mp-14643,0.9,Er2Te3
1234,mp-12388,0.0,Er3Al3NiGe2
1235,,0.0,Er3SnC
1236,,0.9,Er3Te4
1237,mp-504627,0.0,Er4NiB13
1238,mp-31466,0.0,Er5Bi3
1239,mp-570864,0.0,Er5NiPb3
1240,mp-31167,0.0,Er5Si3
1241,mp-23039,0.0,Er6MnBi2
1242,mp-569724,0.0,ErAgSn
1243,mp-569739,0.0,ErAl9(Fe2Si3)2
1244,mp-1024985,0.0,ErAlGe
1245,mp-5197,0.0,ErB2Ir3
1246,mp-3093,0.0,ErB2Ru3
1247,mp-1296,3.5,ErB6
1248,mp-10061,0.0,ErBPd3
1249,mp-1198777,3.26,ErBiW2O9
1250,mp-1955,0.0,ErCu
1251,mp-16751,0.0,ErCuPb
1252,mp-1018064,0.0,ErFeC2
1253,mp-11369,0.0,ErHg2
1254,,0.0,ErLu3
1255,mp-30607,0.0,ErMg2
1256,mp-1025001,0.0,ErNi4Au
1257,mp-12965,0.0,ErNi4B
1258,mp-622620,0.0,ErNiSn
1259,mp-30377,0.0,ErPbAu
1260,,0.0,ErRu3
1261,mp-9978,1.07,ErSe2
1262,mp-17093,0.0,ErSiPd
1263,mp-5640,0.0,ErSnAu
1264,mp-1280,0.9,ErTe
1265,mp-30609,0.0,ErTlPd
1266,mp-30614,0.0,ErZn12
1267,mp-13485,0.0,Eu(AlAu)2
1268,mp-1069444,0.0,Eu(AsPd)2
1269,mp-1193071,1.02,Eu(BiSe2)2
1270,,0.44,Eu(BiTe2)2
1271,mp-19774,0.0,Eu(CdSb)2
1272,mp-627640,0.0,Eu(ClO4)3
1273,mp-645690,1.8,Eu(DySe2)2
1274,mp-1193984,1.7,Eu(ErSe2)2
1275,mp-582357,0.0,Eu(FeSi)2
1276,mp-1181942,2.25,Eu(GaS2)2
1277,mp-1201775,2.16,Eu(GaSe2)2
1278,mp-1103807,1.7,Eu(GaTe2)2
1279,mp-1193885,1.8,Eu(HoSe2)2
1280,,0.0,Eu(InAs)2
1281,mp-1105168,1.5,Eu(InS2)2
1282,mp-1104657,1.31,Eu(InSe2)2
1283,,1.22,Eu(InTe2)2
1284,mp-645692,1.7,Eu(LuSe2)2
1285,mp-1006146,0.0,Eu(MgBi)2
1286,mp-672298,0.0,Eu(MnGe)2
1287,mp-580731,0.0,Eu(Ni2B)6
1288,mp-6992,0.0,Eu(NiAs)2
1289,mp-20802,0.0,Eu(POs)2
1290,mp-1194437,1.2,Eu(SbS2)2
1291,mp-1192961,0.95,Eu(SbSe2)2
1292,mp-542964,1.8,Eu(TmSe2)2
1293,mp-19808,0.0,Eu(ZnGe)2
1294,mp-22133,0.0,Eu(ZnSi)2
1295,,2.14,Eu1.75Ag0.5Ge1S4
1296,,0.23,Eu1.83Ta15O32
1297,mp-645591,0.0,Eu2(Ga3Rh)3
1298,mp-22234,0.0,Eu2C(NO)2
1299,mp-22306,0.0,Eu2CuO4
1300,mp-1192354,2.3,Eu2Ga2GeS7
1301,mp-1019739,0.0,Eu2Ge(BO4)2
1302,mp-1182469,4.5,Eu2O3
1303,mp-613052,0.0,Eu2PBr
1304,mp-20209,0.0,Eu2ReO5
1305,mp-1189540,1.02,Eu2Se3
1306,,1.07,Eu2SnSe5
1307,mp-19897,0.0,Eu2TeO2
1308,mp-1188263,0.45,Eu3(InP2)2
1309,,0.6,Eu3As2
1310,mp-556626,0.0,Eu3BWO9
1311,,1.18,Eu3Bi4S9
1312,,1.2,Eu3P2
1313,mp-1103738,1.7,Eu3S4
1314,mp-684111,1.2,Eu3Sb4S9
1315,mp-1200385,1.08,Eu3Sb4Se9
1316,,0.58,Eu3Se4
1317,,0.0,Eu3Sn
1318,,0.31,Eu4Te7
1319,,0.6,Eu7(Ga3Sb4)2
1320,mp-22707,0.0,EuAgSb
1321,mp-1019732,2.74,EuAl2O4
1322,mp-21455,0.0,EuAlO3
1323,,3.46,EuB(SbO4)2
1324,,0.0,EuBi3
1325,,3.63,EuBiW2O9
1326,mp-583684,0.0,EuCd11
1327,mp-542757,0.0,EuClO
1328,mp-583224,0.0,EuCo8P5
1329,mp-555984,1.85,EuCu2SnS4
1330,mp-568497,0.0,EuCu9Sn4
1331,mp-21356,0.0,EuCuSeF
1332,mp-510596,0.0,EuCuSeO
1333,mp-19908,0.0,EuF3
1334,mp-19763,0.0,EuGe3Pt
1335,mp-1102496,1.85,EuH2
1336,mp-1095411,0.26,EuIn2(GeIr)4
1337,mp-20340,1.25,EuN
1338,mp-974769,0.0,EuNiGe3
1339,mp-21394,1.12,EuO
1340,mp-672290,0.0,EuPPt
1341,mp-1018147,0.0,EuPd
1342,mp-19801,0.0,EuRhO3
1343,mp-20587,1.65,EuS
1344,,0.98,EuSb4S7
1345,,0.54,EuSb4Te7
1346,,0.0,EuSbO3
1347,mp-22487,0.0,EuScO3
1348,mp-21009,3.1,EuSe
1349,mp-639138,0.0,EuSeClO3
1350,mp-20387,0.0,EuSn3
1351,,0.0,EuSnAu2
1352,,0.0,EuSnO3
1353,,0.6,EuSnTe2
1354,mp-555860,0.0,EuTiClO3
1355,mp-1079111,0.0,EuTiO3
1356,mp-542584,0.0,EuTl
1357,mp-1261,0.0,EuZn
1358,mp-12466,0.0,Fe(PdSe)2
1359,,0.0,Fe10O9F11
1360,mp-17977,0.0,Fe12As5
1361,mp-1197728,3.52,Fe2B(PO4)3
1362,,0.0,Fe2Cu(PO4)3
1363,,0.0,Fe2O2F3
1364,mp-19770,2.2,Fe2O3
1365,,0.0,Fe2S
1366,mp-973682,0.0,Fe3B
1367,mp-1804,0.0,Fe3N
1368,mp-2199,0.0,Fe3Si
1369,,2.3,Fe4H15(IO8)3
1370,,0.0,Fe4O7F
1371,mp-628588,0.0,Fe4Si2Sn7O16
1372,,0.0,Fe6O7F5
1373,mp-624243,0.0,Fe6W6C
1374,,0.0,Fe9Co7
1375,,0.0,FeAg3(CN)6
1376,,0.23,FeAgSe2
1377,,0.0,FeAs2O7
1378,mp-1101894,0.6,FeAsSe
1379,mp-1197024,2.54,FeBi(SeO3)3
